,box_number,rotate_angle,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
count,435.0,412.0,423.0,419.0,435.0,435.0,435.0,435.0,435.0
mean,0.9862068965517241,50.536407766990294,97.44037825059101,99.16479713603819,0.9862068965517241,0.7333333333333333,2.0919540229885056,1.8459770114942529,1.303448275862069
std,0.11676556310197597,10.13251059738261,6.6039890536378465,0.30171304277933647,0.11676556310197597,0.9565041315173871,0.7921298348759491,1.681205719797958,0.6330833543924304
min,0.0,44.0,50.63,98.1,0.0,0.0,0.0,0.0,0.0
25%,1.0,49.0,98.28,99.05,1.0,0.0,1.0,0.0,1.0
50%,1.0,49.0,98.58,99.24,1.0,0.0,2.0,1.0,1.0
75%,1.0,50.0,98.8,99.38,1.0,2.0,3.0,4.0,2.0
max,1.0,135.0,99.32,99.64,1.0,2.0,3.0,4.0,2.0
