,box_number,rotate_angle,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
count,501.0,402.0,495.0,483.0,501.0,501.0,501.0,501.0,501.0
mean,0.9920159680638723,91.49751243781094,68.80818181818182,97.01407867494825,0.9920159680638723,0.812375249500998,1.7385229540918163,1.7385229540918163,0.3992015968063872
std,0.08908494678962871,3.3686605789029693,3.589740656798143,0.5193761518961056,0.08908494678962871,0.39080243973929796,0.5843740360180762,0.5843740360180762,0.7976962838558577
min,0.0,86.0,53.36,95.17,0.0,0.0,0.0,0.0,0.0
25%,1.0,91.0,66.565,96.67,1.0,1.0,2.0,2.0,0.0
50%,1.0,92.0,68.86,97.02,1.0,1.0,2.0,2.0,0.0
75%,1.0,92.0,70.81,97.36500000000001,1.0,1.0,2.0,2.0,0.0
max,1.0,135.0,89.64,98.54,1.0,1.0,2.0,2.0,2.0
