,box_number,rotate_angle,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
count,424.0,410.0,419.0,400.0,424.0,424.0,424.0,424.0,424.0
mean,0.9882075471698113,76.82926829268293,93.57861575178998,96.79032500000001,0.9882075471698113,0.2830188679245283,0.9740566037735849,0.9740566037735849,0.1509433962264151
std,0.10807839873848445,3.5374520068064785,4.316650470563309,0.8191857589363417,0.10807839873848445,0.4509976748459419,0.7698739920866996,0.7698739920866996,0.7411249876906425
min,0.0,48.0,56.9,92.46,0.0,0.0,0.0,0.0,0.0
25%,1.0,75.0,93.125,96.36,1.0,0.0,0.0,0.0,0.0
50%,1.0,76.0,94.42,96.94,1.0,0.0,1.0,1.0,0.0
75%,1.0,78.0,95.30000000000001,97.36,1.0,1.0,2.0,2.0,0.0
max,1.0,108.0,97.19,98.29,1.0,1.0,2.0,2.0,4.0
