,box_number,rotate_angle,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
count,345.0,334.0,339.0,314.0,345.0,345.0,345.0,345.0,345.0
mean,0.9826086956521739,49.69461077844311,98.75799410029501,96.95207006369428,0.9826086956521739,0.7797101449275362,1.5130434782608695,1.5130434782608695,0.8985507246376812
std,0.13091418472180594,6.537223124874045,5.437338757995115,0.8237480663798445,0.13091418472180594,0.9753621435593252,1.2508035839660376,1.2508035839660376,0.6086806055244611
min,0.0,46.0,53.08,94.48,0.0,0.0,0.0,0.0,0.0
25%,1.0,48.0,99.43,96.45500000000001,1.0,0.0,0.0,0.0,1.0
50%,1.0,48.0,99.49,97.11,1.0,0.0,1.0,1.0,1.0
75%,1.0,50.75,99.53,97.57,1.0,2.0,3.0,3.0,1.0
max,1.0,162.0,99.7,98.51,1.0,2.0,3.0,3.0,2.0
