,box_number,rotate_angle,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
count,452.0,424.0,441.0,409.0,452.0,452.0,452.0,452.0,452.0
mean,0.9756637168141593,105.52594339622641,97.57108843537415,94.50503667481662,0.9756637168141593,0.8893805309734514,2.0973451327433628,2.0973451327433628,0.061946902654867256
std,0.1542617127477118,0.8801926269960603,7.057949077193199,1.0104255855072848,0.1542617127477118,0.9882559012077798,1.7312292738338737,1.7312292738338737,0.24132618956229285
min,0.0,102.0,50.41,90.61,0.0,0.0,0.0,0.0,0.0
25%,1.0,105.0,98.73,93.83,1.0,0.0,1.0,1.0,0.0
50%,1.0,106.0,98.92,94.55,1.0,0.0,1.0,1.0,0.0
75%,1.0,106.0,99.06,95.24,1.0,2.0,4.0,4.0,0.0
max,1.0,107.0,99.52,96.94,1.0,2.0,4.0,4.0,1.0
