,box_number,rotate_angle,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
count,519.0,519.0,519.0,517.0,519.0,519.0,519.0,519.0,519.0
mean,1.0,80.89788053949904,99.96520231213874,72.07787234042553,1.0,0.0038535645472061657,0.009633911368015413,0.009633911368015413,0.05202312138728324
std,0.0,3.1737301502778585,0.006080819459586209,6.773153436900384,0.0,0.06201713661084708,0.13145921782836753,0.13145921782836753,0.31560255454818864
min,1.0,77.0,99.94,51.19,1.0,0.0,0.0,0.0,0.0
25%,1.0,80.0,99.96,68.11,1.0,0.0,0.0,0.0,0.0
50%,1.0,80.0,99.97,72.54,1.0,0.0,0.0,0.0,0.0
75%,1.0,81.0,99.97,76.66,1.0,0.0,0.0,0.0,0.0
max,1.0,118.0,99.97,88.28,1.0,1.0,2.0,2.0,3.0
