,box_number,rotate_angle,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
count,446.0,431.0,444.0,399.0,446.0,446.0,446.0,446.0,446.0
mean,0.9955156950672646,78.67285382830626,95.20765765765765,92.81819548872183,0.9955156950672646,0.7869955156950673,2.3408071748878925,2.2690582959641254,0.033632286995515695
std,0.06688966917991851,1.1957992265476902,4.403817029955631,8.363462276962249,0.06688966917991851,0.9418659152061067,1.3559666806892479,2.1166610363167173,0.18048321964433384
min,0.0,76.0,50.32,51.25,0.0,0.0,0.0,0.0,0.0
25%,1.0,78.0,95.09,94.015,1.0,0.0,1.0,1.0,0.0
50%,1.0,78.0,95.955,95.12,1.0,0.0,2.0,1.0,0.0
75%,1.0,80.0,96.72,95.8,1.0,2.0,4.0,5.0,0.0
max,1.0,83.0,98.01,97.63,1.0,2.0,4.0,5.0,1.0
