,box_number,rotate_angle,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
count,479.0,479.0,479.0,466.0,479.0,479.0,479.0,479.0,479.0
mean,1.0,31.129436325678498,81.17308977035492,79.63804721030043,1.0,0.9478079331941545,1.9227557411273486,1.9227557411273486,3.920668058455115
std,0.0,9.038038507230183,4.5544954635031605,4.951475575215932,0.0,0.2226466811410519,0.34876339350329305,0.34876339350329305,0.5392257470862268
min,1.0,23.0,64.18,65.73,1.0,0.0,0.0,0.0,0.0
25%,1.0,28.0,78.195,76.52250000000001,1.0,1.0,2.0,2.0,4.0
50%,1.0,31.0,81.39,80.195,1.0,1.0,2.0,2.0,4.0
75%,1.0,31.0,84.17500000000001,83.005,1.0,1.0,2.0,2.0,4.0
max,1.0,135.0,96.16,90.76,1.0,1.0,2.0,2.0,4.0
