,box_number,rotate_angle,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
count,409.0,387.0,398.0,394.0,409.0,409.0,409.0,409.0,409.0
mean,0.9828850855745721,135.2454780361757,98.24005025125628,98.67517766497463,0.9828850855745721,0.07579462102689487,0.5378973105134475,0.5770171149144254,0.05378973105134474
std,0.12985847876595072,0.8985878192012503,6.271348466188927,0.3748901028567962,0.12985847876595072,0.37914495762513356,0.5680690368304666,0.6856797844936254,0.22587860003354404
min,0.0,132.0,50.99,97.43,0.0,0.0,0.0,0.0,0.0
25%,1.0,135.0,99.25,98.4525,1.0,0.0,0.0,0.0,0.0
50%,1.0,135.0,99.38,98.71,1.0,0.0,1.0,1.0,0.0
75%,1.0,136.0,99.48,98.96,1.0,0.0,1.0,1.0,0.0
max,1.0,146.0,99.67,99.4,1.0,2.0,2.0,3.0,1.0
