,box_number,rotate_angle,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
count,453.0,429.0,444.0,439.0,453.0,453.0,453.0,453.0,453.0
mean,0.9845474613686535,139.75990675990676,98.9158783783784,91.26908883826879,0.9845474613686535,0.03090507726269316,0.6114790286975718,0.6114790286975718,1.0507726269315674
std,0.12348042936888891,3.223116850856734,5.6981684034850195,1.7225491062946774,0.12348042936888891,0.17325188143586498,0.547763572655446,0.547763572655446,0.22962180131345966
min,0.0,82.0,50.92,84.73,0.0,0.0,0.0,0.0,0.0
25%,1.0,139.0,99.9,90.12,1.0,0.0,0.0,0.0,1.0
50%,1.0,140.0,99.91,91.34,1.0,0.0,1.0,1.0,1.0
75%,1.0,142.0,99.92,92.435,1.0,0.0,1.0,1.0,1.0
max,1.0,142.0,99.94,96.15,1.0,1.0,2.0,2.0,2.0
