box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
1,45.0,Side,Right,Horizontal-Right,92.13%,98.82%,1,Straight,19:16:33.461506
1,44.0,Side,Right,Horizontal-Right,91.93%,98.90%,1,Straight,19:16:32.420464
1,35.0,,,,93.40%,98.60%,1,,19:16:31.389951
1,36.0,Side,Right,Horizontal-Right,91.75%,98.99%,1,,19:16:30.353740
1,36.0,Side,Right,Horizontal-Right,91.94%,98.68%,1,,19:16:29.318032
1,36.0,Side,Right,Horizontal-Right,91.89%,98.73%,1,,19:16:28.284433
1,45.0,Side,Right,Horizontal-Right,91.65%,98.53%,1,Straight,19:16:27.252424
1,36.0,Side,Right,Horizontal-Right,92.49%,98.65%,1,,19:16:26.223540
1,43.0,Side,Right,Horizontal-Right,92.47%,98.79%,1,Straight,19:16:25.196428
1,44.0,Side,Right,Horizontal-Right,92.44%,98.56%,1,Straight,19:16:24.172418
1,35.0,Side,Right,Horizontal-Right,92.32%,98.79%,1,,19:16:23.150916
1,43.0,Side,Right,Horizontal-Right,90.78%,98.61%,1,Straight,19:16:22.119099
1,43.0,Side,Right,Horizontal-Right,91.45%,98.90%,1,Straight,19:16:21.092433
1,36.0,Side,Right,Horizontal-Right,92.77%,98.86%,1,,19:16:20.061810
1,44.0,Side,Right,Horizontal-Right,91.53%,98.74%,1,Straight,19:16:19.035512
1,44.0,Side,Right,Horizontal-Right,90.73%,98.92%,1,Straight,19:16:18.006541
1,45.0,Side,Right,Horizontal-Right,91.50%,98.70%,1,Straight,19:16:16.972486
1,35.0,Side,Right,Horizontal-Right,91.47%,98.87%,1,,19:16:15.946386
1,43.0,Side,Right,Horizontal-Right,92.32%,98.98%,1,Straight,19:16:14.920417
1,45.0,Side,Right,Horizontal-Right,91.55%,98.72%,1,Straight,19:16:13.893847
1,45.0,,,,92.60%,98.74%,1,Straight,19:16:12.866291
1,35.0,Side,Right,Horizontal-Right,91.20%,98.96%,1,,19:16:11.841761
1,36.0,Side,Right,Horizontal-Right,92.28%,98.80%,1,,19:16:10.818987
1,35.0,,,,91.46%,98.79%,1,,19:16:09.794835
1,36.0,Side,Right,Horizontal-Right,92.35%,98.71%,1,,19:16:08.767740
1,45.0,Side,Right,Horizontal-Right,92.57%,98.89%,1,Straight,19:16:07.744392
1,36.0,Side,Right,Horizontal-Right,90.61%,99.08%,1,,19:16:06.715037
1,35.0,Side,Right,Horizontal-Right,92.83%,98.74%,1,,19:16:05.678640
1,36.0,Side,Right,Horizontal-Right,92.98%,98.91%,1,,19:16:04.656387
1,36.0,Side,Right,Horizontal-Right,92.29%,98.91%,1,,19:16:03.629720
1,60.0,Side,Right,Horizontal-Right,92.64%,98.92%,1,Acute,19:16:02.600439
1,35.0,Side,Right,Horizontal-Right,92.46%,98.26%,1,,19:16:01.579424
1,43.0,Side,Right,Horizontal-Right,92.64%,98.70%,1,Straight,19:16:00.543405
1,45.0,Side,Right,Horizontal-Right,91.57%,98.57%,1,Straight,19:15:59.515630
1,44.0,Side,Right,Horizontal-Right,91.25%,98.70%,1,Straight,19:15:58.478107
