box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
1,85.0,Side,Left,Horizontal-Left,99.82%,99.17%,1,,18:42:25.207622
1,84.0,Side,Left,Horizontal-Left,99.83%,99.06%,1,Acute,18:42:24.177717
1,84.0,Side,Left,Horizontal-Left,99.83%,99.30%,1,Acute,18:42:23.142467
1,85.0,Side,Left,Horizontal-Left,99.80%,99.13%,1,,18:42:22.099618
1,84.0,Side,Left,Horizontal-Left,99.82%,98.95%,1,Acute,18:42:21.070127
1,85.0,Side,Left,Horizontal-Left,99.82%,99.11%,1,,18:42:20.034015
1,85.0,Side,Left,Horizontal-Left,99.82%,98.96%,1,,18:42:18.991172
1,84.0,Side,Left,Horizontal-Left,99.81%,99.17%,1,Acute,18:42:17.915708
1,85.0,Side,Left,Horizontal-Left,99.81%,99.11%,1,,18:42:16.884130
1,84.0,Side,Left,Horizontal-Left,99.82%,99.17%,1,Acute,18:42:15.844269
1,85.0,Side,Left,Horizontal-Left,99.81%,99.14%,1,,18:42:14.804123
1,85.0,Side,Left,Horizontal-Left,99.82%,99.09%,1,,18:42:13.774069
1,85.0,Side,Left,Horizontal-Left,99.84%,99.11%,1,,18:42:12.749545
1,85.0,Side,Left,Horizontal-Left,99.84%,99.15%,1,,18:42:11.722330
1,85.0,Side,Left,Horizontal-Left,99.82%,99.06%,1,,18:42:10.679949
1,85.0,Side,Left,Horizontal-Left,99.81%,99.14%,1,,18:42:09.651484
1,85.0,Side,Left,Horizontal-Left,99.83%,99.20%,1,,18:42:08.615883
1,85.0,Side,Left,Horizontal-Left,99.83%,99.09%,1,,18:42:07.578847
1,84.0,Side,Left,Horizontal-Left,99.82%,99.06%,1,Acute,18:42:06.530405
1,85.0,Side,Left,Horizontal-Left,99.81%,99.03%,1,,18:42:05.506528
1,84.0,Side,Left,Horizontal-Left,99.82%,99.10%,1,Acute,18:42:04.452449
1,85.0,Side,Left,Horizontal-Left,99.83%,99.08%,1,,18:42:03.422933
1,85.0,Side,Left,Horizontal-Left,99.84%,99.04%,1,,18:42:02.398129
1,85.0,Side,Left,Horizontal-Left,99.82%,99.25%,1,,18:42:01.365547
1,85.0,Side,Left,Horizontal-Left,99.81%,99.09%,1,,18:42:00.344335
1,85.0,Side,Left,Horizontal-Left,99.81%,99.10%,1,,18:41:59.313852
1,84.0,Side,Left,Horizontal-Left,99.81%,98.97%,1,Acute,18:41:58.284387
1,85.0,Side,Left,Horizontal-Left,99.82%,99.01%,1,,18:41:57.265992
1,85.0,Side,Left,Horizontal-Left,99.83%,99.11%,1,,18:41:56.239563
1,84.0,Side,Left,Horizontal-Left,99.83%,99.17%,1,Acute,18:41:55.196526
1,85.0,Side,Left,Horizontal-Left,99.82%,99.28%,1,,18:41:54.170148
1,85.0,Side,Left,Horizontal-Left,99.83%,99.11%,1,,18:41:53.142087
1,85.0,Side,Left,Horizontal-Left,99.82%,99.21%,1,,18:41:52.115653
1,85.0,Side,Left,Horizontal-Left,99.83%,99.17%,1,,18:41:51.091705
1,85.0,Side,Left,Horizontal-Left,99.81%,99.24%,1,,18:41:50.059093
1,85.0,Side,Left,Horizontal-Left,99.84%,99.10%,1,,18:41:49.033452
1,85.0,Side,Left,Horizontal-Left,99.83%,98.90%,1,,18:41:47.996002
1,84.0,Side,Left,Horizontal-Left,99.82%,99.06%,1,Acute,18:41:46.968351
1,85.0,Side,Left,Horizontal-Left,99.84%,99.22%,1,,18:41:45.931068
1,84.0,Side,Left,Horizontal-Left,99.81%,98.99%,1,Acute,18:41:44.891633
1,85.0,Side,Left,Horizontal-Left,99.81%,99.19%,1,,18:41:43.859244
1,85.0,Side,Left,Horizontal-Left,99.81%,99.19%,1,,18:41:42.827506
1,85.0,Side,Left,Horizontal-Left,99.83%,99.23%,1,,18:41:41.795245
1,85.0,Side,Left,Horizontal-Left,99.83%,99.06%,1,,18:41:40.767508
1,85.0,Side,Left,Horizontal-Left,99.81%,99.14%,1,,18:41:39.741620
1,84.0,Side,Left,Horizontal-Left,99.80%,99.14%,1,Acute,18:41:38.717963
1,84.0,Side,Left,Horizontal-Left,99.82%,99.16%,1,Acute,18:41:37.688372
