box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1,angle_gt_2,box_number_gt_2,arrow_direction_gt_2,arrow_position_gt_2,orientation_type_gt_2,angle_type_type_gt_2
1,89.0,Side,Right,Horizontal-Right,99.07,79.76,2,Right,02:32:45.014169,2.0,2.0,1,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,69.0,,,,96.41,,2,Acute,02:32:43.944622,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,90.0,,,,98.97,82.01,2,Right,02:32:43.944622,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,97.52,,2,Acute,02:32:42.864169,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,94.0,,,,98.79,73.83,2,Right,02:32:42.864169,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,96.37,,2,Acute,02:32:41.770867,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,93.0,,,,98.86,81.23,2,Right,02:32:41.770867,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,68.0,,,,97.57,,2,Acute,02:32:40.689653,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,91.0,,,,99.08,82.45,2,Right,02:32:40.689653,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,95.63,,2,Acute,02:32:39.623942,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,89.0,Top,Down,Vertical-Down,98.88,84.47,2,Right,02:32:39.623942,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,64.0,,,,96.17,,2,Acute,02:32:38.552984,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,87.0,,,,99.3,74.65,2,Right,02:32:38.552984,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,97.41,,2,Acute,02:32:37.445008,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,87.0,Side,Right,Horizontal-Right,99.06,79.13,2,Right,02:32:37.445008,2.0,2.0,1,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,64.0,,,,97.77,,2,Acute,02:32:36.370074,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,91.0,,,,99.06,86.34,2,Right,02:32:36.370074,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,70.0,,,,97.31,,2,Acute,02:32:35.288882,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,93.0,Top,Down,Vertical-Down,98.73,84.0,2,Right,02:32:35.288882,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,68.0,,,,95.6,,2,Acute,02:32:34.214145,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,98.0,Top,Down,Vertical-Down,98.64,70.68,2,Right,02:32:34.214145,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,95.28,,2,Acute,02:32:33.148401,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,92.0,,,,98.74,81.43,2,Right,02:32:33.148401,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,97.11,,2,Acute,02:32:32.097986,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,93.0,Top,Down,Vertical-Down,99.01,86.02,2,Right,02:32:32.097986,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,67.0,,,,97.07,,2,Acute,02:32:31.025227,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,97.0,,,,98.45,84.08,2,Right,02:32:31.025227,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,72.0,,,,96.19,,2,Acute,02:32:29.960676,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,86.0,,,,98.39,82.31,2,Right,02:32:29.960676,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,67.0,,,,97.64,,2,Acute,02:32:28.892061,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,,Top,Down,Vertical-Down,98.82,83.72,2,,02:32:28.892061,1.0,4.0,2,,102,1,4,1,14,2,73,2,0,0,0,4
2,63.0,,,,95.94,,2,Acute,02:32:27.815664,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,94.0,Top,Down,Vertical-Down,98.97,85.35,2,Right,02:32:27.815664,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,68.0,,,,96.94,,2,Acute,02:32:26.737966,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,91.0,,,,99.03,81.21,2,Right,02:32:26.737966,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,97.46,,2,Acute,02:32:25.641092,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,88.0,Top,Down,Vertical-Down,99.1,84.08,2,Right,02:32:25.641092,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,96.91,,2,Acute,02:32:24.563901,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,90.0,Top,Down,Vertical-Down,98.79,80.85,2,Right,02:32:24.563901,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,95.81,,2,Acute,02:32:23.514110,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,91.0,Top,Down,Vertical-Down,98.74,66.02,2,Right,02:32:23.514110,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,96.74,,2,Acute,02:32:22.447712,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,98.0,Top,Down,Vertical-Down,98.89,70.58,2,Right,02:32:22.447712,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,96.17,,2,Acute,02:32:21.376597,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,87.0,Top,Down,Vertical-Down,99.08,80.89,2,Right,02:32:21.376597,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,72.0,,,,96.54,,2,Acute,02:32:20.312321,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,88.0,Top,Down,Vertical-Down,98.96,77.12,2,Right,02:32:20.312321,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
