box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1
1,78.0,,,,95.46,95.35,1,Acute,20:00:05.529614,,,5,4.0,78,1,4,1,14,4
1,80.0,Side,Right,Horizontal-Right,96.94,94.1,1,Acute,20:00:04.494606,2.0,2.0,1,4.0,78,1,4,1,14,4
1,81.0,Side,Right,Horizontal-Right,96.52,93.65,1,Acute,20:00:03.450694,2.0,2.0,1,4.0,78,1,4,1,14,4
1,78.0,Side,Right,Horizontal-Right,95.54,96.47,1,Acute,20:00:02.424028,2.0,2.0,1,4.0,78,1,4,1,14,4
1,78.0,Side,Left,Horizontal-Left,95.57,93.89,1,Acute,20:00:01.376727,2.0,1.0,0,4.0,78,1,4,1,14,4
1,78.0,Side,Right,Horizontal-Right,94.32,93.3,1,Acute,20:00:00.329949,2.0,2.0,1,4.0,78,1,4,1,14,4
1,80.0,Side,Right,Horizontal-Right,95.95,93.59,1,Acute,19:59:59.298635,2.0,2.0,1,4.0,78,1,4,1,14,4
1,80.0,Side,Left,Horizontal-Left,96.23,94.52,1,Acute,19:59:58.264389,2.0,1.0,0,4.0,78,1,4,1,14,4
1,78.0,,,,96.86,95.1,1,Acute,19:59:57.222538,,,5,4.0,78,1,4,1,14,4
1,80.0,Side,Right,Horizontal-Right,95.8,92.77,1,Acute,19:59:56.158563,2.0,2.0,1,4.0,78,1,4,1,14,4
1,77.0,Side,Right,Horizontal-Right,97.27,96.99,1,Acute,19:59:55.120435,2.0,2.0,1,4.0,78,1,4,1,14,4
1,78.0,Side,Right,Horizontal-Right,97.2,93.1,1,Acute,19:59:54.069455,2.0,2.0,1,4.0,78,1,4,1,14,4
1,81.0,Side,Right,Horizontal-Right,96.56,95.38,1,Acute,19:59:53.022669,2.0,2.0,1,4.0,78,1,4,1,14,4
1,80.0,Side,Right,Horizontal-Right,97.42,95.35,1,Acute,19:59:51.970543,2.0,2.0,1,4.0,78,1,4,1,14,4
1,78.0,Side,Right,Horizontal-Right,95.58,97.02,1,Acute,19:59:50.934651,2.0,2.0,1,4.0,78,1,4,1,14,4
1,79.0,,,,94.66,94.53,1,Acute,19:59:49.906800,,,5,4.0,78,1,4,1,14,4
1,78.0,Side,Right,Horizontal-Right,96.32,97.11,1,Acute,19:59:48.876664,2.0,2.0,1,4.0,78,1,4,1,14,4
1,79.0,,,,92.16,95.86,1,Acute,19:59:47.838498,,,5,4.0,78,1,4,1,14,4
1,78.0,,,,96.87,95.55,1,Acute,19:59:46.782666,,,5,4.0,78,1,4,1,14,4
1,78.0,Side,Left,Horizontal-Left,95.95,96.37,1,Acute,19:59:45.747791,2.0,1.0,0,4.0,78,1,4,1,14,4
1,78.0,,,,96.26,95.19,1,Acute,19:59:44.710689,,,5,4.0,78,1,4,1,14,4
1,78.0,Side,Left,Horizontal-Left,96.25,95.49,1,Acute,19:59:43.675682,2.0,1.0,0,4.0,78,1,4,1,14,4
1,78.0,Top,Down,Vertical-Down,95.84,94.33,1,Acute,19:59:42.626691,1.0,4.0,2,4.0,78,1,4,1,14,4
1,78.0,Side,Left,Horizontal-Left,96.21,94.69,1,Acute,19:59:41.588167,2.0,1.0,0,4.0,78,1,4,1,14,4
1,78.0,Side,Right,Horizontal-Right,95.99,96.22,1,Acute,19:59:40.550445,2.0,2.0,1,4.0,78,1,4,1,14,4
1,80.0,,,,93.54,94.73,1,Acute,19:59:39.504764,,,5,4.0,78,1,4,1,14,4
1,81.0,Side,Right,Horizontal-Right,94.18,91.93,1,Acute,19:59:38.472214,2.0,2.0,1,4.0,78,1,4,1,14,4
1,78.0,Side,Left,Horizontal-Left,96.46,94.4,1,Acute,19:59:37.410630,2.0,1.0,0,4.0,78,1,4,1,14,4
1,78.0,Side,Right,Horizontal-Right,96.24,95.15,1,Acute,19:59:36.365430,2.0,2.0,1,4.0,78,1,4,1,14,4
1,78.0,Side,Left,Horizontal-Left,96.45,93.53,1,Acute,19:59:35.321368,2.0,1.0,0,4.0,78,1,4,1,14,4
1,78.0,Side,Right,Horizontal-Right,92.96,95.81,1,Acute,19:59:34.269786,2.0,2.0,1,4.0,78,1,4,1,14,4
