box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
1,106.0,Side,Left,Horizontal-Left,98.57,94.16,1,Obtuse,20:43:23.568067,2.0,1,0,1.0
1,106.0,Side,Right,Horizontal-Right,98.8,94.31,1,Obtuse,20:43:22.502377,2.0,2,1,1.0
1,106.0,Side,Left,Horizontal-Left,98.84,96.05,1,Obtuse,20:43:21.462657,2.0,1,0,1.0
1,106.0,Side,Right,Horizontal-Right,99.25,94.45,1,Obtuse,20:43:20.416597,2.0,2,1,1.0
1,106.0,Side,Left,Horizontal-Left,99.05,94.91,1,Obtuse,20:43:19.382670,2.0,1,0,1.0
1,106.0,,,,98.97,94.37,1,Obtuse,20:43:18.345237,,,4,1.0
1,104.0,Side,Right,Horizontal-Right,99.24,94.8,1,Obtuse,20:43:17.312401,2.0,2,1,1.0
1,106.0,Side,Right,Horizontal-Right,98.94,94.11,1,Obtuse,20:43:16.260933,2.0,2,1,1.0
1,106.0,Side,Left,Horizontal-Left,98.62,93.66,1,Obtuse,20:43:15.221383,2.0,1,0,1.0
1,106.0,,,,98.91,94.01,1,Obtuse,20:43:14.186082,,,4,1.0
1,106.0,,,,98.83,94.76,1,Obtuse,20:43:13.140489,,,4,1.0
1,106.0,,,,99.06,96.29,1,Obtuse,20:43:12.105287,,,4,1.0
1,106.0,,,,98.97,93.68,1,Obtuse,20:43:11.062426,,,4,1.0
1,106.0,Side,Right,Horizontal-Right,99.22,94.29,1,Obtuse,20:43:10.017989,2.0,2,1,1.0
1,106.0,,,,98.86,95.81,1,Obtuse,20:43:08.982686,,,4,1.0
1,104.0,Side,Right,Horizontal-Right,98.72,94.35,1,Obtuse,20:43:07.948087,2.0,2,1,1.0
1,106.0,Side,Left,Horizontal-Left,99.07,94.51,1,Obtuse,20:43:06.908274,2.0,1,0,1.0
1,105.0,Side,Right,Horizontal-Right,98.96,95.35,1,Obtuse,20:43:05.866693,2.0,2,1,1.0
1,106.0,Side,Right,Horizontal-Right,98.96,94.99,1,Obtuse,20:43:04.846589,2.0,2,1,1.0
1,106.0,Side,Left,Horizontal-Left,99.04,94.06,1,Obtuse,20:43:03.797322,2.0,1,0,1.0
1,104.0,Side,Right,Horizontal-Right,99.27,94.41,1,Obtuse,20:43:02.760857,2.0,2,1,1.0
1,106.0,Side,Left,Horizontal-Left,99.11,96.19,1,Obtuse,20:43:01.728865,2.0,1,0,1.0
1,105.0,Side,Right,Horizontal-Right,98.72,94.66,1,Obtuse,20:43:00.680751,2.0,2,1,1.0
1,106.0,Side,Right,Horizontal-Right,99.02,94.27,1,Obtuse,20:42:59.636321,2.0,2,1,1.0
1,106.0,Side,Left,Horizontal-Left,99.0,94.41,1,Obtuse,20:42:58.587729,2.0,1,0,1.0
1,106.0,,,,98.97,93.42,1,Obtuse,20:42:57.538084,,,4,1.0
