box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1,angle_gt_2,box_number_gt_2,arrow_direction_gt_2,arrow_position_gt_2,orientation_type_gt_2,angle_type_type_gt_2,angle_gt_3,box_number_gt_3,arrow_direction_gt_3,arrow_position_gt_3,orientation_type_gt_3,angle_type_type_gt_3
3,116.0,,,,74.9,,3,Obtuse,02:56:00.007664,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,91.33,,3,Acute,02:56:00.007664,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,94.0,Top,Down,Vertical-Down,99.3,72.0,3,Right,02:56:00.007664,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,121.0,,,,78.04,,3,Obtuse,02:55:58.901278,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,95.43,,3,Acute,02:55:58.901278,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,104.0,Top,Down,Vertical-Down,99.52,68.62,3,Obtuse,02:55:58.901278,1.0,4.0,2,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,107.0,,,,82.66,,3,Obtuse,02:55:57.810113,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,93.48,,3,Acute,02:55:57.810113,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,94.0,,,,99.44,72.4,3,Right,02:55:57.810113,,,3,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,118.0,,,,88.1,,3,Obtuse,02:55:56.731202,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,,,,96.01,,3,Acute,02:55:56.731202,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,123.0,,,,99.32,68.25,3,Obtuse,02:55:56.731202,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,110.0,,,,86.37,,3,Obtuse,02:55:55.631302,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,91.09,,3,Acute,02:55:55.631302,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,85.0,Top,Down,Vertical-Down,99.1,73.45,3,,02:55:55.631302,1.0,4.0,2,,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,106.0,,,,81.37,,3,Obtuse,02:55:54.468984,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,92.75,,3,Acute,02:55:54.468984,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,87.0,Top,Down,Vertical-Down,99.33,57.38,3,Right,02:55:54.468984,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,121.0,,,,86.76,,3,Obtuse,02:55:53.378143,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,,,,92.38,,3,Acute,02:55:53.378143,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,94.0,Top,Down,Vertical-Down,99.53,78.36,3,Right,02:55:53.378143,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,116.0,,,,79.07,,3,Obtuse,02:55:52.275381,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,88.73,,3,Acute,02:55:52.275381,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,83.0,Top,Down,Vertical-Down,99.34,62.14,3,Acute,02:55:52.275381,1.0,4.0,2,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,103.0,,,,84.88,,3,Obtuse,02:55:51.172746,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,,,,91.88,55.71,3,Acute,02:55:51.172746,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,84.0,,,,99.32,61.99,3,Acute,02:55:51.172746,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,103.0,,,,80.15,,3,Obtuse,02:55:50.050146,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,93.21,,3,Acute,02:55:50.050146,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,99.0,Top,Down,Vertical-Down,99.44,74.32,3,Right,02:55:50.050146,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,107.0,,,,67.75,,3,Obtuse,02:55:48.922144,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,92.22,,3,Acute,02:55:48.922144,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,137.0,,,,99.39,57.72,3,Straight,02:55:48.922144,,,3,3.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,118.0,,,,82.49,,3,Obtuse,02:55:47.821518,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,Side,Left,Horizontal-Left,93.99,55.73,3,Acute,02:55:47.821518,2.0,1.0,0,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,120.0,Side,Right,Horizontal-Right,99.29,71.58,3,Obtuse,02:55:47.821518,2.0,2.0,1,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,104.0,,,,73.71,,3,Obtuse,02:55:46.710896,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,75.0,,,,95.46,,3,Acute,02:55:46.710896,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
