box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
1,80,Side,Left,Horizontal-Left,99.97,76.37,1,Acute,15:31:08.636618,2.0,1.0,0,4.0
1,79,Side,Left,Horizontal-Left,99.97,81.07,1,Acute,15:31:07.605459,2.0,1.0,0,4.0
1,82,Side,Left,Horizontal-Left,99.96,71.38,1,Acute,15:31:06.569453,2.0,1.0,0,4.0
1,79,Side,Left,Horizontal-Left,99.97,72.24,1,Acute,15:31:05.531696,2.0,1.0,0,4.0
1,79,Side,Left,Horizontal-Left,99.97,75.62,1,Acute,15:31:04.510055,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.97,74.15,1,Acute,15:31:03.476818,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.97,78.82,1,Acute,15:31:02.441975,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.97,60.75,1,Acute,15:31:01.402060,2.0,1.0,0,4.0
1,79,Side,Left,Horizontal-Left,99.96,71.61,1,Acute,15:31:00.353017,2.0,1.0,0,4.0
1,79,Side,Left,Horizontal-Left,99.97,64.15,1,Acute,15:30:59.302071,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.97,69.8,1,Acute,15:30:58.259944,2.0,1.0,0,4.0
1,82,Side,Left,Horizontal-Left,99.97,75.43,1,Acute,15:30:57.220426,2.0,1.0,0,4.0
1,81,Side,Left,Horizontal-Left,99.97,81.02,1,Acute,15:30:56.189148,2.0,1.0,0,4.0
1,82,Side,Left,Horizontal-Left,99.97,76.19,1,Acute,15:30:55.148508,2.0,1.0,0,4.0
1,81,Side,Left,Horizontal-Left,99.97,76.66,1,Acute,15:30:54.119221,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.97,74.07,1,Acute,15:30:53.091324,2.0,1.0,0,4.0
1,81,Side,Left,Horizontal-Left,99.97,69.67,1,Acute,15:30:52.061593,2.0,1.0,0,4.0
1,79,Side,Left,Horizontal-Left,99.97,82.16,1,Acute,15:30:51.034078,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.97,68.02,1,Acute,15:30:50.000476,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.97,71.6,1,Acute,15:30:48.969433,2.0,1.0,0,4.0
1,79,Side,Left,Horizontal-Left,99.96,61.9,1,Acute,15:30:47.931747,2.0,1.0,0,4.0
1,83,Side,Left,Horizontal-Left,99.96,59.42,1,Acute,15:30:46.902075,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.96,85.34,1,Acute,15:30:45.875011,2.0,1.0,0,4.0
1,79,Side,Left,Horizontal-Left,99.96,72.28,1,Acute,15:30:44.827564,2.0,1.0,0,4.0
1,81,Side,Left,Horizontal-Left,99.97,86.23,1,Acute,15:30:43.787627,2.0,1.0,0,4.0
1,77,Side,Left,Horizontal-Left,99.97,72.66,1,Acute,15:30:42.757729,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.96,79.77,1,Acute,15:30:41.728382,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.97,81.28,1,Acute,15:30:40.700308,2.0,1.0,0,4.0
1,79,Side,Left,Horizontal-Left,99.97,79.66,1,Acute,15:30:39.666071,2.0,1.0,0,4.0
1,79,Side,Left,Horizontal-Left,99.97,64.14,1,Acute,15:30:38.635372,2.0,1.0,0,4.0
1,79,Side,Left,Horizontal-Left,99.96,73.23,1,Acute,15:30:37.597018,2.0,1.0,0,4.0
1,79,Side,Left,Horizontal-Left,99.97,62.84,1,Acute,15:30:36.560769,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.97,63.7,1,Acute,15:30:35.531458,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.97,80.15,1,Acute,15:30:34.504058,2.0,1.0,0,4.0
1,81,Side,Left,Horizontal-Left,99.97,77.53,1,Acute,15:30:33.468614,2.0,1.0,0,4.0
1,81,Side,Left,Horizontal-Left,99.97,74.72,1,Acute,15:30:32.427497,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.97,75.39,1,Acute,15:30:31.399709,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.97,71.69,1,Acute,15:30:30.362079,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.97,70.52,1,Acute,15:30:29.326082,2.0,1.0,0,4.0
1,81,Side,Left,Horizontal-Left,99.97,58.46,1,Acute,15:30:28.298083,2.0,1.0,0,4.0
1,77,Side,Left,Horizontal-Left,99.97,67.52,1,Acute,15:30:27.276177,2.0,1.0,0,4.0
1,79,Side,Left,Horizontal-Left,99.97,77.01,1,Acute,15:30:26.246072,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.97,70.65,1,Acute,15:30:25.207749,2.0,1.0,0,4.0
1,79,Side,Left,Horizontal-Left,99.97,73.37,1,Acute,15:30:24.169250,2.0,1.0,0,4.0
1,80,Side,Left,Horizontal-Left,99.96,80.89,1,Acute,15:30:23.138338,2.0,1.0,0,4.0
