box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
1,48.0,,,,99.44,96.59,1,Straight,20:17:17.000514,,,3,3.0
1,48.0,,,,99.52,97.21,1,Straight,20:17:15.961619,,,3,3.0
1,53.0,,,,99.5,96.48,1,Acute,20:17:14.940572,,,3,4.0
1,52.0,Side,Left,Horizontal-Left,99.5,96.32,1,Acute,20:17:13.898677,2.0,1.0,0,4.0
1,48.0,Side,Left,Horizontal-Left,99.45,97.5,1,Straight,20:17:12.854071,2.0,1.0,0,3.0
1,48.0,Side,Left,Horizontal-Left,99.39,95.69,1,Straight,20:17:11.806130,2.0,1.0,0,3.0
1,49.0,Side,Left,Horizontal-Left,99.54,96.88,1,Straight,20:17:10.778217,2.0,1.0,0,3.0
1,48.0,,,,99.45,96.7,1,Straight,20:17:09.750668,,,3,3.0
1,48.0,,,,99.61,96.74,1,Straight,20:17:08.714672,,,3,3.0
1,51.0,Side,Right,Horizontal-Right,99.48,96.87,1,Acute,20:17:07.702060,2.0,2.0,1,4.0
1,52.0,Side,Left,Horizontal-Left,99.53,97.04,1,Acute,20:17:06.662669,2.0,1.0,0,4.0
1,48.0,Side,Left,Horizontal-Left,99.57,97.83,1,Straight,20:17:05.632565,2.0,1.0,0,3.0
1,48.0,Side,Left,Horizontal-Left,99.45,96.8,1,Straight,20:17:04.600291,2.0,1.0,0,3.0
1,50.0,,,,99.45,97.16,1,,20:17:03.566096,,,3,
1,49.0,Side,Right,Horizontal-Right,99.37,96.88,1,Straight,20:17:02.525382,2.0,2.0,1,3.0
1,48.0,Side,Left,Horizontal-Left,99.57,97.83,1,Straight,20:17:01.480683,2.0,1.0,0,3.0
1,48.0,Side,Right,Horizontal-Right,99.53,97.32,1,Straight,20:17:00.432442,2.0,2.0,1,3.0
1,51.0,Side,Right,Horizontal-Right,99.36,98.2,1,Acute,20:16:59.393407,2.0,2.0,1,4.0
1,48.0,,,,99.52,96.48,1,Straight,20:16:58.357081,,,3,3.0
1,53.0,Side,Right,Horizontal-Right,99.55,96.66,1,Acute,20:16:57.318441,2.0,2.0,1,4.0
1,52.0,Side,Right,Horizontal-Right,99.55,97.65,1,Acute,20:16:56.292369,2.0,2.0,1,4.0
1,48.0,Side,Right,Horizontal-Right,99.54,96.55,1,Straight,20:16:55.245523,2.0,2.0,1,3.0
1,48.0,Side,Left,Horizontal-Left,99.51,97.49,1,Straight,20:16:54.205941,2.0,1.0,0,3.0
1,48.0,Side,Right,Horizontal-Right,99.47,96.61,1,Straight,20:16:53.168040,2.0,2.0,1,3.0
1,48.0,Side,Right,Horizontal-Right,99.63,96.72,1,Straight,20:16:52.118685,2.0,2.0,1,3.0
1,48.0,Side,Right,Horizontal-Right,99.38,97.2,1,Straight,20:16:51.090266,2.0,2.0,1,3.0
1,48.0,,,,99.48,94.48,1,Straight,20:16:50.036640,,,3,3.0
1,53.0,Side,Right,Horizontal-Right,99.59,97.41,1,Acute,20:16:48.984013,2.0,2.0,1,4.0
1,48.0,Side,Left,Horizontal-Left,99.7,95.7,1,Straight,20:16:47.921845,2.0,1.0,0,3.0
1,52.0,,,,99.51,97.94,1,Acute,20:16:46.881897,,,3,4.0
1,54.0,,,,99.63,96.32,1,Acute,20:16:45.826706,,,3,4.0
1,48.0,Side,Right,Horizontal-Right,99.44,97.33,1,Straight,20:16:44.788375,2.0,2.0,1,3.0
1,47.0,Side,Left,Horizontal-Left,99.45,97.06,1,Straight,20:16:43.759887,2.0,1.0,0,3.0
1,47.0,Side,Right,Horizontal-Right,99.52,97.87,1,Straight,20:16:42.699830,2.0,2.0,1,3.0
1,50.0,,,,99.39,97.53,1,,20:16:41.670623,,,3,
1,47.0,Side,Right,Horizontal-Right,99.54,96.02,1,Straight,20:16:40.634029,2.0,2.0,1,3.0
1,47.0,,,,99.49,98.51,1,Straight,20:16:39.583771,,,3,3.0
1,47.0,Side,Right,Horizontal-Right,99.65,97.89,1,Straight,20:16:38.537998,2.0,2.0,1,3.0
1,52.0,Side,Right,Horizontal-Right,99.51,98.42,1,Acute,20:16:37.501369,2.0,2.0,1,4.0
1,47.0,,,,99.33,97.01,1,Straight,20:16:36.468958,,,3,3.0
1,51.0,Side,Left,Horizontal-Left,99.57,97.51,1,Acute,20:16:35.438279,2.0,1.0,0,4.0
1,57.0,Side,Right,Horizontal-Right,99.42,97.61,1,Acute,20:16:34.380938,2.0,2.0,1,4.0
1,47.0,,,,99.33,97.17,1,Straight,20:16:33.354554,,,3,3.0
1,50.0,,,,99.37,95.49,1,,20:16:32.317098,,,3,
1,48.0,Side,Right,Horizontal-Right,99.41,96.18,1,Straight,20:16:31.285233,2.0,2.0,1,3.0
1,49.0,,,,99.39,97.57,1,Straight,20:16:30.238660,,,3,3.0
1,48.0,,,,99.51,97.85,1,Straight,20:16:29.205348,,,3,3.0
1,48.0,Side,Left,Horizontal-Left,99.25,96.98,1,Straight,20:16:28.162207,2.0,1.0,0,3.0
1,48.0,Side,Left,Horizontal-Left,99.52,96.33,1,Straight,20:16:27.121444,2.0,1.0,0,3.0
1,48.0,Side,Right,Horizontal-Right,99.58,97.57,1,Straight,20:16:26.078204,2.0,2.0,1,3.0
1,49.0,Top,Up,Vertical-Up,99.44,97.75,1,Straight,20:16:25.041696,1.0,3.0,2,3.0
1,48.0,Side,Left,Horizontal-Left,99.52,97.53,1,Straight,20:16:24.013019,2.0,1.0,0,3.0
1,48.0,Side,Right,Horizontal-Right,99.57,97.39,1,Straight,20:16:22.984653,2.0,2.0,1,3.0
1,53.0,,,,99.64,97.35,1,Acute,20:16:21.957047,,,3,4.0
1,47.0,,,,99.49,97.22,1,Straight,20:16:20.938612,,,3,3.0
1,48.0,Side,Left,Horizontal-Left,99.43,94.81,1,Straight,20:16:19.890679,2.0,1.0,0,3.0
1,52.0,,,,99.44,96.39,1,Acute,20:16:18.857743,,,3,4.0
1,49.0,Side,Left,Horizontal-Left,99.26,97.35,1,Straight,20:16:17.821499,2.0,1.0,0,3.0
1,50.0,,,,99.57,97.41,1,,20:16:16.782645,,,3,
1,53.0,Side,Right,Horizontal-Right,99.58,97.44,1,Acute,20:16:15.744965,2.0,2.0,1,4.0
1,48.0,Side,Left,Horizontal-Left,99.53,97.43,1,Straight,20:16:14.710701,2.0,1.0,0,3.0
1,51.0,Side,Right,Horizontal-Right,99.5,96.65,1,Acute,20:16:13.677404,2.0,2.0,1,4.0
1,48.0,Side,Left,Horizontal-Left,99.37,97.97,1,Straight,20:16:12.630669,2.0,1.0,0,3.0
1,53.0,Side,Right,Horizontal-Right,99.22,96.87,1,Acute,20:16:11.585798,2.0,2.0,1,4.0
1,50.0,,,,99.69,97.42,1,,20:16:10.533693,,,3,
1,46.0,Side,Left,Horizontal-Left,99.46,96.64,1,Straight,20:16:09.504081,2.0,1.0,0,3.0
1,47.0,,,,99.52,96.64,1,Straight,20:16:08.474167,,,3,3.0
1,50.0,Side,Right,Horizontal-Right,99.5,97.11,1,,20:16:07.434016,2.0,2.0,1,
1,48.0,Side,Left,Horizontal-Left,99.51,98.18,1,Straight,20:16:06.400977,2.0,1.0,0,3.0
1,48.0,Side,Right,Horizontal-Right,99.57,98.41,1,Straight,20:16:05.360416,2.0,2.0,1,3.0
1,48.0,,,,99.63,96.61,1,Straight,20:16:04.310071,,,3,3.0
1,48.0,Side,Right,Horizontal-Right,99.57,95.9,1,Straight,20:16:03.280722,2.0,2.0,1,3.0
1,48.0,Side,Right,Horizontal-Right,99.57,97.58,1,Straight,20:16:02.240119,2.0,2.0,1,3.0
1,48.0,Side,Right,Horizontal-Right,99.59,96.31,1,Straight,20:16:01.192677,2.0,2.0,1,3.0
1,57.0,,,,99.6,95.44,1,Acute,20:16:00.148161,,,3,4.0
1,50.0,Side,Right,Horizontal-Right,99.62,97.27,1,,20:15:59.115705,2.0,2.0,1,
1,48.0,Side,Left,Horizontal-Left,99.45,97.22,1,Straight,20:15:58.071213,2.0,1.0,0,3.0
1,52.0,Side,Right,Horizontal-Right,99.47,96.55,1,Acute,20:15:57.038689,2.0,2.0,1,4.0
1,52.0,Side,Right,Horizontal-Right,99.44,95.33,1,Acute,20:15:56.020209,2.0,2.0,1,4.0
1,48.0,Side,Left,Horizontal-Left,99.41,96.59,1,Straight,20:15:54.973883,2.0,1.0,0,3.0
1,49.0,Side,Right,Horizontal-Right,99.43,97.2,1,Straight,20:15:53.928841,2.0,2.0,1,3.0
1,46.0,,,,99.33,96.51,1,Straight,20:15:52.881184,,,3,3.0
