box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
1,129.0,,,,98.84,99.98,1,Obtuse,21:33:10.034607,,,3,1.0
1,123.0,Side,Right,Horizontal-Right,98.99,99.98,1,Obtuse,21:33:08.994024,2.0,2.0,1,1.0
1,125.0,,,,99.06,99.99,1,Obtuse,21:33:07.956988,,,3,1.0
1,118.0,Side,Left,Horizontal-Left,99.09,99.98,1,Obtuse,21:33:06.929820,2.0,1.0,0,1.0
1,123.0,,,,98.96,99.98,1,Obtuse,21:33:05.898656,,,3,1.0
1,119.0,,,,98.77,99.98,1,Obtuse,21:33:04.870691,,,3,1.0
1,123.0,Side,Left,Horizontal-Left,98.6,99.98,1,Obtuse,21:33:03.837911,2.0,1.0,0,1.0
1,127.0,,,,98.79,99.98,1,Obtuse,21:33:02.814193,,,3,1.0
1,118.0,,,,99.09,99.98,1,Obtuse,21:33:01.777368,,,3,1.0
1,123.0,,,,98.97,99.98,1,Obtuse,21:33:00.748220,,,3,1.0
1,128.0,Top,Down,Vertical-Down,98.76,99.98,1,Obtuse,21:32:59.728093,1.0,4.0,2,1.0
1,129.0,,,,98.87,99.98,1,Obtuse,21:32:58.702677,,,3,1.0
1,129.0,,,,98.92,99.99,1,Obtuse,21:32:57.671093,,,3,1.0
1,127.0,,,,98.98,99.98,1,Obtuse,21:32:56.649979,,,3,1.0
1,132.0,,,,98.78,99.98,1,Straight,21:32:55.616110,,,3,3.0
1,127.0,,,,99.11,99.98,1,Obtuse,21:32:54.586774,,,3,1.0
1,132.0,Side,Left,Horizontal-Left,98.77,99.98,1,Straight,21:32:53.564088,2.0,1.0,0,3.0
1,128.0,Side,Left,Horizontal-Left,98.95,99.98,1,Obtuse,21:32:52.529837,2.0,1.0,0,1.0
1,131.0,,,,98.93,99.98,1,Straight,21:32:51.488157,,,3,3.0
1,124.0,,,,98.9,99.98,1,Obtuse,21:32:50.455838,,,3,1.0
1,127.0,,,,98.83,99.98,1,Obtuse,21:32:49.414645,,,3,1.0
1,128.0,,,,99.05,99.98,1,Obtuse,21:32:48.378561,,,3,1.0
1,126.0,,,,98.96,99.99,1,Obtuse,21:32:47.345547,,,3,1.0
1,132.0,,,,98.87,99.98,1,Straight,21:32:46.309023,,,3,3.0
1,128.0,Side,Right,Horizontal-Right,98.99,99.98,1,Obtuse,21:32:45.277554,2.0,2.0,1,1.0
1,125.0,,,,99.03,99.98,1,Obtuse,21:32:44.243683,,,3,1.0
1,123.0,Side,Left,Horizontal-Left,98.99,99.98,1,Obtuse,21:32:43.204463,2.0,1.0,0,1.0
1,130.0,Side,Right,Horizontal-Right,98.94,99.98,1,,21:32:42.182832,2.0,2.0,1,
1,125.0,,,,98.84,99.98,1,Obtuse,21:32:41.145531,,,3,1.0
1,131.0,,,,98.68,99.98,1,Straight,21:32:40.130383,,,3,3.0
1,122.0,Side,Right,Horizontal-Right,98.87,99.98,1,Obtuse,21:32:39.097843,2.0,2.0,1,1.0
1,128.0,,,,99.0,99.98,1,Obtuse,21:32:38.061339,,,3,1.0
1,129.0,,,,99.07,99.98,1,Obtuse,21:32:37.034664,,,3,1.0
1,125.0,,,,98.83,99.98,1,Obtuse,21:32:36.006038,,,3,1.0
1,129.0,Side,Right,Horizontal-Right,99.13,99.98,1,Obtuse,21:32:34.970675,2.0,2.0,1,1.0
1,130.0,,,,98.78,99.98,1,,21:32:33.942132,,,3,
1,126.0,Side,Right,Horizontal-Right,98.86,99.98,1,Obtuse,21:32:32.906773,2.0,2.0,1,1.0
1,131.0,,,,98.68,99.98,1,Straight,21:32:31.876519,,,3,3.0
1,132.0,,,,98.82,99.98,1,Straight,21:32:30.832241,,,3,3.0
1,130.0,Side,Right,Horizontal-Right,98.97,99.98,1,,21:32:29.805418,2.0,2.0,1,
1,129.0,,,,99.02,99.98,1,Obtuse,21:32:28.761217,,,3,1.0
1,127.0,,,,98.89,99.98,1,Obtuse,21:32:27.735880,,,3,1.0
1,128.0,,,,98.91,99.99,1,Obtuse,21:32:26.717384,,,3,1.0
1,126.0,,,,98.91,99.98,1,Obtuse,21:32:25.686619,,,3,1.0
1,121.0,,,,98.87,99.98,1,Obtuse,21:32:24.658237,,,3,1.0
1,124.0,,,,98.85,99.98,1,Obtuse,21:32:23.626315,,,3,1.0
1,131.0,,,,98.79,99.98,1,Straight,21:32:22.602665,,,3,3.0
1,130.0,,,,98.86,99.98,1,,21:32:21.575982,,,3,
1,130.0,,,,99.0,99.98,1,,21:32:20.543958,,,3,
1,127.0,,,,98.72,99.98,1,Obtuse,21:32:19.509894,,,3,1.0
1,125.0,,,,98.98,99.98,1,Obtuse,21:32:18.482673,,,3,1.0
1,130.0,,,,98.89,99.98,1,,21:32:17.442653,,,3,
1,129.0,,,,98.8,99.98,1,Obtuse,21:32:16.410295,,,3,1.0
1,129.0,,,,99.06,99.98,1,Obtuse,21:32:15.372260,,,3,1.0
1,131.0,,,,99.08,99.98,1,Straight,21:32:14.338706,,,3,3.0
1,127.0,Side,Right,Horizontal-Right,98.89,99.98,1,Obtuse,21:32:13.306586,2.0,2.0,1,1.0
1,125.0,,,,99.18,99.98,1,Obtuse,21:32:12.277846,,,3,1.0
1,129.0,,,,99.04,99.98,1,Obtuse,21:32:11.242720,,,3,1.0
1,127.0,,,,99.06,99.99,1,Obtuse,21:32:10.223784,,,3,1.0
1,128.0,Side,Right,Horizontal-Right,99.05,99.98,1,Obtuse,21:32:09.196162,2.0,2.0,1,1.0
1,129.0,,,,98.94,99.98,1,Obtuse,21:32:08.162294,,,3,1.0
1,128.0,Side,Right,Horizontal-Right,98.85,99.98,1,Obtuse,21:32:07.141821,2.0,2.0,1,1.0
1,128.0,,,,99.02,99.98,1,Obtuse,21:32:06.108060,,,3,1.0
1,130.0,,,,98.88,99.98,1,,21:32:05.072163,,,3,
1,127.0,,,,98.84,99.98,1,Obtuse,21:32:04.033665,,,3,1.0
1,128.0,,,,98.78,99.98,1,Obtuse,21:32:03.006311,,,3,1.0
1,128.0,,,,98.87,99.98,1,Obtuse,21:32:01.969155,,,3,1.0
1,125.0,,,,98.98,99.98,1,Obtuse,21:32:00.930689,,,3,1.0
1,131.0,,,,98.56,99.99,1,Straight,21:31:59.906635,,,3,3.0
1,128.0,,,,98.77,99.99,1,Obtuse,21:31:58.878676,,,3,1.0
1,128.0,,,,98.94,99.98,1,Obtuse,21:31:57.844892,,,3,1.0
1,124.0,Side,Right,Horizontal-Right,98.87,99.98,1,Obtuse,21:31:56.817057,2.0,2.0,1,1.0
1,126.0,,,,98.71,99.98,1,Obtuse,21:31:55.794517,,,3,1.0
1,122.0,Side,Right,Horizontal-Right,98.93,99.98,1,Obtuse,21:31:54.754696,2.0,2.0,1,1.0
1,127.0,,,,98.88,99.99,1,Obtuse,21:31:53.724963,,,3,1.0
1,126.0,Side,Right,Horizontal-Right,99.28,99.98,1,Obtuse,21:31:52.694676,2.0,2.0,1,1.0
1,129.0,,,,99.05,99.98,1,Obtuse,21:31:51.658693,,,3,1.0
1,126.0,,,,98.94,99.98,1,Obtuse,21:31:50.637049,,,3,1.0
1,122.0,,,,98.81,99.98,1,Obtuse,21:31:49.610973,,,3,1.0
1,124.0,,,,98.76,99.98,1,Obtuse,21:31:48.584280,,,3,1.0
1,120.0,Side,Right,Horizontal-Right,98.93,99.98,1,Obtuse,21:31:47.566863,2.0,2.0,1,1.0
1,129.0,,,,99.07,99.98,1,Obtuse,21:31:46.541368,,,3,1.0
1,127.0,,,,99.14,99.98,1,Obtuse,21:31:45.500024,,,3,1.0
1,119.0,,,,98.8,99.98,1,Obtuse,21:31:44.461483,,,3,1.0
