box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1
1,78.0,Side,Right,Horizontal-Right,94.92,96.44,1,Acute,22:04:43.838690,2.0,2.0,1,4.0,76,1,0,0,0,4
1,79.0,Side,Right,Horizontal-Right,94.49,97.67,1,Acute,22:04:42.808846,2.0,2.0,1,4.0,76,1,0,0,0,4
1,83.0,Side,Right,Horizontal-Right,94.72,96.66,1,Acute,22:04:41.776552,2.0,2.0,1,4.0,76,1,0,0,0,4
1,78.0,Side,Right,Horizontal-Right,93.0,95.75,1,Acute,22:04:40.716901,2.0,2.0,1,4.0,76,1,0,0,0,4
1,80.0,Side,Right,Horizontal-Right,91.28,97.15,1,Acute,22:04:39.689721,2.0,2.0,1,4.0,76,1,0,0,0,4
1,76.0,Side,Right,Horizontal-Right,94.86,97.58,1,Acute,22:04:38.656670,2.0,2.0,1,4.0,76,1,0,0,0,4
1,75.0,Side,Right,Horizontal-Right,90.15,96.65,1,Acute,22:04:37.610715,2.0,2.0,1,4.0,76,1,0,0,0,4
1,78.0,Side,Right,Horizontal-Right,93.66,96.94,1,Acute,22:04:36.586687,2.0,2.0,1,4.0,76,1,0,0,0,4
1,75.0,Side,Left,Horizontal-Left,91.94,96.2,1,Acute,22:04:35.554663,2.0,1.0,0,4.0,76,1,0,0,0,4
1,78.0,Side,Right,Horizontal-Right,92.76,97.26,1,Acute,22:04:34.526613,2.0,2.0,1,4.0,76,1,0,0,0,4
1,79.0,Side,Left,Horizontal-Left,94.45,96.09,1,Acute,22:04:33.500426,2.0,1.0,0,4.0,76,1,0,0,0,4
1,78.0,Side,Left,Horizontal-Left,95.51,97.69,1,Acute,22:04:32.467763,2.0,1.0,0,4.0,76,1,0,0,0,4
1,76.0,,,,93.29,97.2,1,Acute,22:04:31.441107,,,2,4.0,76,1,0,0,0,4
1,77.0,Side,Left,Horizontal-Left,95.67,97.01,1,Acute,22:04:30.413969,2.0,1.0,0,4.0,76,1,0,0,0,4
1,78.0,Side,Left,Horizontal-Left,92.04,96.36,1,Acute,22:04:29.386666,2.0,1.0,0,4.0,76,1,0,0,0,4
1,76.0,Side,Right,Horizontal-Right,95.33,96.99,1,Acute,22:04:28.358217,2.0,2.0,1,4.0,76,1,0,0,0,4
1,76.0,Side,Right,Horizontal-Right,95.76,96.23,1,Acute,22:04:27.334194,2.0,2.0,1,4.0,76,1,0,0,0,4
1,78.0,Side,Left,Horizontal-Left,92.91,95.05,1,Acute,22:04:26.306676,2.0,1.0,0,4.0,76,1,0,0,0,4
1,76.0,Side,Left,Horizontal-Left,94.1,96.03,1,Acute,22:04:25.274687,2.0,1.0,0,4.0,76,1,0,0,0,4
1,76.0,Side,Right,Horizontal-Right,95.09,96.19,1,Acute,22:04:24.248576,2.0,2.0,1,4.0,76,1,0,0,0,4
1,74.0,Side,Left,Horizontal-Left,94.29,96.96,1,Acute,22:04:23.206686,2.0,1.0,0,4.0,76,1,0,0,0,4
1,76.0,Side,Left,Horizontal-Left,96.13,96.97,1,Acute,22:04:22.178348,2.0,1.0,0,4.0,76,1,0,0,0,4
1,78.0,,,,92.15,96.44,1,Acute,22:04:21.152760,,,2,4.0,76,1,0,0,0,4
1,76.0,,,,94.34,96.4,1,Acute,22:04:20.124788,,,2,4.0,76,1,0,0,0,4
1,80.0,,,,94.85,98.05,1,Acute,22:04:19.090732,,,2,4.0,76,1,0,0,0,4
1,75.0,Side,Left,Horizontal-Left,90.97,96.17,1,Acute,22:04:18.058561,2.0,1.0,0,4.0,76,1,0,0,0,4
1,77.0,Side,Right,Horizontal-Right,95.56,97.84,1,Acute,22:04:17.028023,2.0,2.0,1,4.0,76,1,0,0,0,4
1,73.0,Side,Right,Horizontal-Right,94.34,96.31,1,Acute,22:04:16.005191,2.0,2.0,1,4.0,76,1,0,0,0,4
1,79.0,Side,Right,Horizontal-Right,95.96,97.91,1,Acute,22:04:14.969849,2.0,2.0,1,4.0,76,1,0,0,0,4
1,74.0,Side,Right,Horizontal-Right,93.87,93.85,1,Acute,22:04:13.940891,2.0,2.0,1,4.0,76,1,0,0,0,4
1,77.0,Side,Right,Horizontal-Right,94.66,96.69,1,Acute,22:04:12.913643,2.0,2.0,1,4.0,76,1,0,0,0,4
1,78.0,Side,Right,Horizontal-Right,89.3,97.56,1,Acute,22:04:11.881909,2.0,2.0,1,4.0,76,1,0,0,0,4
1,77.0,Side,Right,Horizontal-Right,93.19,97.79,1,Acute,22:04:10.842684,2.0,2.0,1,4.0,76,1,0,0,0,4
1,79.0,Side,Left,Horizontal-Left,94.92,97.89,1,Acute,22:04:09.822494,2.0,1.0,0,4.0,76,1,0,0,0,4
1,74.0,,,,94.61,96.6,1,Acute,22:04:08.790712,,,2,4.0,76,1,0,0,0,4
1,74.0,Side,Right,Horizontal-Right,94.81,97.11,1,Acute,22:04:07.772644,2.0,2.0,1,4.0,76,1,0,0,0,4
1,75.0,Side,Left,Horizontal-Left,93.15,95.28,1,Acute,22:04:06.722399,2.0,1.0,0,4.0,76,1,0,0,0,4
1,74.0,Side,Left,Horizontal-Left,92.17,96.19,1,Acute,22:04:05.674742,2.0,1.0,0,4.0,76,1,0,0,0,4
1,82.0,,,,95.11,97.14,1,Acute,22:04:04.649013,,,2,4.0,76,1,0,0,0,4
1,78.0,Side,Right,Horizontal-Right,91.19,97.55,1,Acute,22:04:03.603889,2.0,2.0,1,4.0,76,1,0,0,0,4
1,79.0,,,,92.72,98.08,1,Acute,22:04:02.561920,,,2,4.0,76,1,0,0,0,4
1,79.0,Side,Right,Horizontal-Right,95.09,97.73,1,Acute,22:04:01.522249,2.0,2.0,1,4.0,76,1,0,0,0,4
1,79.0,,,,95.15,96.88,1,Acute,22:04:00.498191,,,2,4.0,76,1,0,0,0,4
1,76.0,Side,Right,Horizontal-Right,95.14,97.46,1,Acute,22:03:59.461117,2.0,2.0,1,4.0,76,1,0,0,0,4
1,78.0,,,,94.96,96.3,1,Acute,22:03:58.444127,,,2,4.0,76,1,0,0,0,4
1,76.0,Side,Left,Horizontal-Left,96.13,95.39,1,Acute,22:03:57.413665,2.0,1.0,0,4.0,76,1,0,0,0,4
1,81.0,Side,Left,Horizontal-Left,95.15,97.63,1,Acute,22:03:56.370703,2.0,1.0,0,4.0,76,1,0,0,0,4
1,75.0,Side,Left,Horizontal-Left,93.57,96.59,1,Acute,22:03:55.326580,2.0,1.0,0,4.0,76,1,0,0,0,4
1,76.0,Side,Right,Horizontal-Right,93.15,97.25,1,Acute,22:03:54.302212,2.0,2.0,1,4.0,76,1,0,0,0,4
1,80.0,Side,Right,Horizontal-Right,92.61,97.73,1,Acute,22:03:53.263857,2.0,2.0,1,4.0,76,1,0,0,0,4
1,74.0,Side,Right,Horizontal-Right,94.34,97.73,1,Acute,22:03:52.241569,2.0,2.0,1,4.0,76,1,0,0,0,4
1,76.0,Side,Right,Horizontal-Right,94.3,97.92,1,Acute,22:03:51.195223,2.0,2.0,1,4.0,76,1,0,0,0,4
1,75.0,Side,Left,Horizontal-Left,94.18,97.22,1,Acute,22:03:50.162659,2.0,1.0,0,4.0,76,1,0,0,0,4
1,77.0,,,,94.12,98.23,1,Acute,22:03:49.146601,,,2,4.0,76,1,0,0,0,4
1,76.0,,,,89.19,96.58,1,Acute,22:03:48.110128,,,2,4.0,76,1,0,0,0,4
1,75.0,Side,Right,Horizontal-Right,93.52,95.25,1,Acute,22:03:47.081110,2.0,2.0,1,4.0,76,1,0,0,0,4
1,79.0,Side,Right,Horizontal-Right,96.05,97.37,1,Acute,22:03:46.054706,2.0,2.0,1,4.0,76,1,0,0,0,4
1,76.0,Side,Left,Horizontal-Left,95.71,97.41,1,Acute,22:03:45.029046,2.0,1.0,0,4.0,76,1,0,0,0,4
1,78.0,Side,Right,Horizontal-Right,96.42,97.08,1,Acute,22:03:44.003468,2.0,2.0,1,4.0,76,1,0,0,0,4
1,76.0,Side,Right,Horizontal-Right,96.81,96.81,1,Acute,22:03:42.962854,2.0,2.0,1,4.0,76,1,0,0,0,4
1,77.0,Side,Right,Horizontal-Right,95.36,97.39,1,Acute,22:03:41.938584,2.0,2.0,1,4.0,76,1,0,0,0,4
1,78.0,Side,Right,Horizontal-Right,93.96,97.2,1,Acute,22:03:40.910377,2.0,2.0,1,4.0,76,1,0,0,0,4
1,78.0,Side,Right,Horizontal-Right,92.74,96.46,1,Acute,22:03:39.873786,2.0,2.0,1,4.0,76,1,0,0,0,4
1,77.0,,,,93.64,97.07,1,Acute,22:03:38.836429,,,2,4.0,76,1,0,0,0,4
1,77.0,Side,Left,Horizontal-Left,94.09,96.91,1,Acute,22:03:37.812942,2.0,1.0,0,4.0,76,1,0,0,0,4
1,75.0,Side,Right,Horizontal-Right,92.29,97.44,1,Acute,22:03:36.780009,2.0,2.0,1,4.0,76,1,0,0,0,4
1,78.0,Side,Right,Horizontal-Right,94.85,96.26,1,Acute,22:03:35.749867,2.0,2.0,1,4.0,76,1,0,0,0,4
1,75.0,Side,Left,Horizontal-Left,92.91,96.45,1,Acute,22:03:34.714696,2.0,1.0,0,4.0,76,1,0,0,0,4
