box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
1,140.0,Side,Left,Horizontal-Left,99.88,92.21,1,Straight,22:14:24.229026,2.0,1.0,0,3.0
1,140.0,Side,Right,Horizontal-Right,99.91,92.21,1,Straight,22:14:23.189350,2.0,2.0,1,3.0
1,140.0,Side,Right,Horizontal-Right,99.91,92.23,1,Straight,22:14:22.150685,2.0,2.0,1,3.0
1,142.0,Side,Left,Horizontal-Left,99.9,92.43,1,Straight,22:14:21.105259,2.0,1.0,0,3.0
1,138.0,Side,Left,Horizontal-Left,99.93,92.47,1,Straight,22:14:20.062683,2.0,1.0,0,3.0
1,139.0,Side,Right,Horizontal-Right,99.94,92.16,1,Straight,22:14:19.034686,2.0,2.0,1,3.0
1,138.0,Side,Right,Horizontal-Right,99.92,93.24,1,Straight,22:14:17.988697,2.0,2.0,1,3.0
1,138.0,Side,Left,Horizontal-Left,99.91,93.1,1,Straight,22:14:16.966062,2.0,1.0,0,3.0
1,139.0,Side,Left,Horizontal-Left,99.92,87.57,1,Straight,22:14:15.938666,2.0,1.0,0,3.0
1,138.0,Side,Right,Horizontal-Right,99.92,89.58,1,Straight,22:14:14.893968,2.0,2.0,1,3.0
1,142.0,Side,Right,Horizontal-Right,99.91,90.14,1,Straight,22:14:13.866682,2.0,2.0,1,3.0
1,138.0,Side,Right,Horizontal-Right,99.91,91.86,1,Straight,22:14:12.830692,2.0,2.0,1,3.0
1,140.0,Side,Left,Horizontal-Left,99.92,93.07,1,Straight,22:14:11.798453,2.0,1.0,0,3.0
1,138.0,Side,Right,Horizontal-Right,99.92,90.67,1,Straight,22:14:10.761021,2.0,2.0,1,3.0
1,140.0,Side,Right,Horizontal-Right,99.94,92.32,1,Straight,22:14:09.705368,2.0,2.0,1,3.0
1,139.0,Side,Right,Horizontal-Right,99.93,91.27,1,Straight,22:14:08.657668,2.0,2.0,1,3.0
1,140.0,Side,Right,Horizontal-Right,99.9,91.29,1,Straight,22:14:07.634630,2.0,2.0,1,3.0
1,139.0,Side,Left,Horizontal-Left,99.9,89.77,1,Straight,22:14:06.600411,2.0,1.0,0,3.0
1,139.0,Side,Left,Horizontal-Left,99.92,91.68,1,Straight,22:14:05.561276,2.0,1.0,0,3.0
1,140.0,Side,Left,Horizontal-Left,99.93,90.36,1,Straight,22:14:04.533298,2.0,1.0,0,3.0
1,137.0,Side,Left,Horizontal-Left,99.93,93.23,1,Straight,22:14:03.493768,2.0,1.0,0,3.0
1,139.0,Side,Left,Horizontal-Left,99.89,91.97,1,Straight,22:14:02.460824,2.0,1.0,0,3.0
1,138.0,Side,Right,Horizontal-Right,99.93,92.91,1,Straight,22:14:01.446604,2.0,2.0,1,3.0
1,139.0,Side,Right,Horizontal-Right,99.9,91.37,1,Straight,22:14:00.417753,2.0,2.0,1,3.0
1,139.0,Side,Left,Horizontal-Left,99.92,91.68,1,Straight,22:13:59.376403,2.0,1.0,0,3.0
1,142.0,Side,Left,Horizontal-Left,99.92,87.04,1,Straight,22:13:58.349652,2.0,1.0,0,3.0
1,142.0,Side,Right,Horizontal-Right,99.91,91.73,1,Straight,22:13:57.316316,2.0,2.0,1,3.0
1,139.0,Side,Right,Horizontal-Right,99.92,92.15,1,Straight,22:13:56.282300,2.0,2.0,1,3.0
1,139.0,Side,Left,Horizontal-Left,99.92,92.85,1,Straight,22:13:55.249489,2.0,1.0,0,3.0
