box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1
1,135.0,Side,Right,Horizontal-Right,99.58,98.68,1,Straight,21:24:32.219870,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.54,99.1,1,Straight,21:24:31.186667,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.42,97.98,1,Straight,21:24:30.148948,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.03,98.65,1,Straight,21:24:29.125683,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.23,98.67,1,Straight,21:24:28.094670,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.27,98.96,1,Straight,21:24:27.077606,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.36,98.52,1,Straight,21:24:26.050630,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,98.93,98.85,1,Straight,21:24:25.029417,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.11,99.01,1,Straight,21:24:23.999755,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.45,98.39,1,Straight,21:24:22.972056,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.59,99.23,1,Straight,21:24:21.934435,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.07,98.92,1,Straight,21:24:20.897847,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.5,98.31,1,Straight,21:24:19.871638,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.52,98.92,1,Straight,21:24:18.841221,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.38,98.99,1,Straight,21:24:17.802687,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.62,99.04,1,Straight,21:24:16.776781,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.41,99.07,1,Straight,21:24:15.749195,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.62,98.45,1,Straight,21:24:14.715817,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.44,98.5,1,Straight,21:24:13.682673,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.36,98.12,1,Straight,21:24:12.643899,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.32,98.4,1,Straight,21:24:11.624741,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.31,98.96,1,Straight,21:24:10.600647,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.3,98.44,1,Straight,21:24:09.564779,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.55,98.65,1,Straight,21:24:08.523905,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.53,98.09,1,Straight,21:24:07.494743,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.35,99.04,1,Straight,21:24:06.461898,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.29,98.36,1,Straight,21:24:05.438660,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.36,98.46,1,Straight,21:24:04.396449,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.48,99.14,1,Straight,21:24:03.364735,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.52,98.98,1,Straight,21:24:02.342145,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.31,98.74,1,Straight,21:24:01.313858,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.32,99.17,1,Straight,21:24:00.268253,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.17,98.51,1,Straight,21:23:59.245620,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.41,97.81,1,Straight,21:23:58.208205,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.41,98.83,1,Straight,21:23:57.176609,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.49,97.9,1,Straight,21:23:56.138345,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.54,98.77,1,Straight,21:23:55.109164,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.41,98.73,1,Straight,21:23:54.080329,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.47,98.6,1,Straight,21:23:53.057496,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.21,98.65,1,Straight,21:23:52.030579,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.41,99.05,1,Straight,21:23:50.984542,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.46,99.09,1,Straight,21:23:49.956120,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.25,98.29,1,Straight,21:23:48.930684,2.0,2.0,1,3.0,141,1,1,2,21,3
1,134.0,Side,Right,Horizontal-Right,99.39,98.89,1,Straight,21:23:47.903162,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.37,98.25,1,Straight,21:23:46.876062,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.45,98.22,1,Straight,21:23:45.846104,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.32,98.87,1,Straight,21:23:44.812587,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.38,98.75,1,Straight,21:23:43.776916,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.24,98.44,1,Straight,21:23:42.752630,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.55,98.97,1,Straight,21:23:41.732647,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.37,99.09,1,Straight,21:23:40.698631,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.2,99.08,1,Straight,21:23:39.666672,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.56,98.93,1,Straight,21:23:38.642285,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.15,98.64,1,Straight,21:23:37.613546,2.0,1.0,0,3.0,141,1,1,2,21,3
1,134.0,Side,Left,Horizontal-Left,99.09,98.58,1,Straight,21:23:36.594015,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.41,98.97,1,Straight,21:23:35.560877,2.0,1.0,0,3.0,141,1,1,2,21,3
1,134.0,Side,Right,Horizontal-Right,99.39,98.52,1,Straight,21:23:34.533929,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.21,98.42,1,Straight,21:23:33.505120,2.0,1.0,0,3.0,141,1,1,2,21,3
1,134.0,Side,Right,Horizontal-Right,99.47,99.05,1,Straight,21:23:32.474479,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.15,98.97,1,Straight,21:23:31.446687,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.48,98.64,1,Straight,21:23:30.421371,2.0,1.0,0,3.0,141,1,1,2,21,3
1,134.0,Side,Left,Horizontal-Left,99.42,99.04,1,Straight,21:23:29.390685,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.44,98.73,1,Straight,21:23:28.366255,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.37,98.49,1,Straight,21:23:27.342542,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.57,99.18,1,Straight,21:23:26.310686,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.02,99.12,1,Straight,21:23:25.282076,2.0,1.0,0,3.0,141,1,1,2,21,3
1,132.0,Side,Right,Horizontal-Right,99.41,99.11,1,Straight,21:23:24.238085,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.3,98.97,1,Straight,21:23:23.196044,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.39,98.48,1,Straight,21:23:22.165521,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.37,98.63,1,Straight,21:23:21.140441,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.38,97.94,1,Straight,21:23:20.104610,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.6,98.75,1,Straight,21:23:19.072215,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.42,99.15,1,Straight,21:23:18.044408,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.07,98.55,1,Straight,21:23:17.016394,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.4,98.44,1,Straight,21:23:15.989018,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.26,98.79,1,Straight,21:23:14.962835,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.29,98.39,1,Straight,21:23:13.926082,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.58,98.75,1,Straight,21:23:12.894361,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.51,98.56,1,Straight,21:23:11.864726,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.47,98.68,1,Straight,21:23:10.827899,2.0,2.0,1,3.0,141,1,1,2,21,3
1,134.0,Side,Right,Horizontal-Right,99.48,98.91,1,Straight,21:23:09.810589,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.36,98.77,1,Straight,21:23:08.785429,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.56,98.65,1,Straight,21:23:07.749632,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.35,98.84,1,Straight,21:23:06.723765,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.4,99.05,1,Straight,21:23:05.686714,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.33,98.5,1,Straight,21:23:04.653647,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.51,98.93,1,Straight,21:23:03.625356,2.0,1.0,0,3.0,141,1,1,2,21,3
1,134.0,Side,Right,Horizontal-Right,98.92,98.87,1,Straight,21:23:02.590663,2.0,2.0,1,3.0,141,1,1,2,21,3
1,134.0,Side,Right,Horizontal-Right,99.48,98.93,1,Straight,21:23:01.554639,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.34,98.86,1,Straight,21:23:00.526675,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.49,99.02,1,Straight,21:22:59.493970,2.0,1.0,0,3.0,141,1,1,2,21,3
1,134.0,Side,Left,Horizontal-Left,99.39,99.25,1,Straight,21:22:58.466691,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.35,97.56,1,Straight,21:22:57.444580,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.57,99.27,1,Straight,21:22:56.407821,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.21,98.56,1,Straight,21:22:55.376607,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.51,98.14,1,Straight,21:22:54.346200,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.19,99.0,1,Straight,21:22:53.316504,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.39,99.03,1,Straight,21:22:52.298625,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.45,98.1,1,Straight,21:22:51.266690,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.18,98.81,1,Straight,21:22:50.229398,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.53,97.43,1,Straight,21:22:49.206614,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.49,98.51,1,Straight,21:22:48.180645,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.5,99.04,1,Straight,21:22:47.150716,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.49,98.08,1,Straight,21:22:46.137711,2.0,2.0,1,3.0,141,1,1,2,21,3
1,134.0,Side,Right,Horizontal-Right,99.32,98.63,1,Straight,21:22:45.109157,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.36,97.91,1,Straight,21:22:44.069209,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.37,98.46,1,Straight,21:22:43.039872,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.34,99.34,1,Straight,21:22:42.002706,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.59,98.63,1,Straight,21:22:40.978589,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.27,98.74,1,Straight,21:22:39.950667,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.46,98.8,1,Straight,21:22:38.918038,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.48,98.73,1,Straight,21:22:37.878656,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.46,98.05,1,Straight,21:22:36.842676,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.25,99.23,1,Straight,21:22:35.810662,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.25,99.04,1,Straight,21:22:34.776700,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Right,Horizontal-Right,99.56,98.52,1,Straight,21:22:33.744803,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.48,99.05,1,Straight,21:22:32.706017,2.0,1.0,0,3.0,141,1,1,2,21,3
1,134.0,Side,Left,Horizontal-Left,99.48,99.07,1,Straight,21:22:31.682374,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Right,Horizontal-Right,99.41,98.71,1,Straight,21:22:30.654017,2.0,2.0,1,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.58,98.62,1,Straight,21:22:29.625393,2.0,1.0,0,3.0,141,1,1,2,21,3
1,134.0,Side,Left,Horizontal-Left,99.01,97.67,1,Straight,21:22:28.598634,2.0,1.0,0,3.0,141,1,1,2,21,3
1,136.0,Side,Left,Horizontal-Left,99.14,98.98,1,Straight,21:22:27.556566,2.0,1.0,0,3.0,141,1,1,2,21,3
1,134.0,Side,Right,Horizontal-Right,99.48,98.81,1,Straight,21:22:26.529711,2.0,2.0,1,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.45,98.75,1,Straight,21:22:25.511972,2.0,1.0,0,3.0,141,1,1,2,21,3
1,135.0,Side,Left,Horizontal-Left,99.49,98.53,1,Straight,21:22:24.481941,2.0,1.0,0,3.0,141,1,1,2,21,3
