box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1
1,50.0,Side,Left,Horizontal-Left,99.2,99.01,1,,20:31:32.810680,2.0,1.0,0,,47,1,1,2,21,3
1,49.0,,,,98.67,99.47,1,Straight,20:31:31.778918,,,4,3.0,47,1,1,2,21,3
1,51.0,Side,Right,Horizontal-Right,98.91,99.19,1,Acute,20:31:30.742727,2.0,2.0,1,4.0,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.83,99.36,1,Straight,20:31:29.697347,2.0,1.0,0,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.47,99.42,1,,20:31:28.664280,2.0,2.0,1,,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.04,99.35,1,Straight,20:31:27.626678,2.0,1.0,0,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.76,99.18,1,,20:31:26.600449,2.0,2.0,1,,47,1,1,2,21,3
1,46.0,Side,Right,Horizontal-Right,98.56,99.5,1,Straight,20:31:25.553188,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,,,,98.79,99.38,1,,20:31:24.518710,,,4,,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.07,98.98,1,Straight,20:31:23.462681,2.0,1.0,0,3.0,47,1,1,2,21,3
1,50.0,,,,98.8,99.42,1,,20:31:22.414734,,,4,,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,97.89,99.36,1,Straight,20:31:21.365371,2.0,1.0,0,3.0,47,1,1,2,21,3
1,49.0,,,,98.57,98.85,1,Straight,20:31:20.328995,,,4,3.0,47,1,1,2,21,3
1,49.0,,,,98.66,99.45,1,Straight,20:31:19.289936,,,4,3.0,47,1,1,2,21,3
1,51.0,Side,Right,Horizontal-Right,98.88,99.19,1,Acute,20:31:18.245552,2.0,2.0,1,4.0,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.59,98.92,1,Straight,20:31:17.201426,2.0,2.0,1,3.0,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.16,98.99,1,Straight,20:31:16.161535,2.0,1.0,0,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.64,99.23,1,,20:31:15.121171,2.0,2.0,1,,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.24,99.2,1,Straight,20:31:14.078055,2.0,1.0,0,3.0,47,1,1,2,21,3
1,46.0,,,,98.3,99.22,1,Straight,20:31:13.038205,,,4,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.29,99.33,1,,20:31:11.988647,2.0,2.0,1,,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.69,99.19,1,Straight,20:31:10.941663,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,,,,98.39,98.46,1,,20:31:09.903641,,,4,,47,1,1,2,21,3
1,48.0,,,,99.16,99.19,1,Straight,20:31:08.870559,,,4,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,99.02,99.25,1,,20:31:07.819931,2.0,2.0,1,,47,1,1,2,21,3
1,51.0,Side,Right,Horizontal-Right,98.9,98.24,1,Acute,20:31:06.769911,2.0,2.0,1,4.0,47,1,1,2,21,3
1,49.0,,,,98.6,98.71,1,Straight,20:31:05.722692,,,4,3.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,99.2,98.89,1,,20:31:04.682255,2.0,1.0,0,,47,1,1,2,21,3
1,51.0,,,,98.26,99.32,1,Acute,20:31:03.643784,,,4,4.0,47,1,1,2,21,3
1,46.0,Side,Left,Horizontal-Left,99.07,99.46,1,Straight,20:31:02.620917,2.0,1.0,0,3.0,47,1,1,2,21,3
1,49.0,,,,98.53,99.37,1,Straight,20:31:01.582001,,,4,3.0,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.93,99.27,1,Straight,20:31:00.549508,2.0,2.0,1,3.0,47,1,1,2,21,3
1,51.0,Side,Left,Horizontal-Left,99.04,99.5,1,Acute,20:30:59.522678,2.0,1.0,0,4.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,98.45,99.45,1,,20:30:58.485523,2.0,1.0,0,,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.39,98.67,1,Straight,20:30:57.446519,2.0,1.0,0,3.0,47,1,1,2,21,3
1,48.0,Side,Left,Horizontal-Left,98.5,99.35,1,Straight,20:30:56.410420,2.0,1.0,0,3.0,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,97.78,99.37,1,Straight,20:30:55.362661,2.0,1.0,0,3.0,47,1,1,2,21,3
1,48.0,,,,98.63,98.98,1,Straight,20:30:54.313064,,,4,3.0,47,1,1,2,21,3
1,51.0,Side,Right,Horizontal-Right,99.08,99.44,1,Acute,20:30:53.282677,2.0,2.0,1,4.0,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.67,99.32,1,Straight,20:30:52.246525,2.0,2.0,1,3.0,47,1,1,2,21,3
1,47.0,Side,Right,Horizontal-Right,98.25,99.2,1,Straight,20:30:51.204874,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,98.11,99.44,1,,20:30:50.182668,2.0,1.0,0,,47,1,1,2,21,3
1,49.0,,,,98.02,99.33,1,Straight,20:30:49.140526,,,4,3.0,47,1,1,2,21,3
1,48.0,Side,Right,Horizontal-Right,97.79,99.04,1,Straight,20:30:48.093423,2.0,2.0,1,3.0,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.34,99.38,1,Straight,20:30:47.045171,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,,,,98.65,98.58,1,,20:30:46.006694,,,4,,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.51,99.17,1,Straight,20:30:44.965131,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.26,98.89,1,,20:30:43.918679,2.0,2.0,1,,47,1,1,2,21,3
