box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
1,78.0,Side,Right,Horizontal-Right,94.92%,96.44%,1,Acute,22:04:43.838690
1,79.0,Side,Right,Horizontal-Right,94.49%,97.67%,1,Acute,22:04:42.808846
1,83.0,Side,Right,Horizontal-Right,94.72%,96.66%,1,Acute,22:04:41.776552
1,78.0,Side,Right,Horizontal-Right,93.00%,95.75%,1,Acute,22:04:40.716901
1,80.0,Side,Right,Horizontal-Right,91.28%,97.15%,1,Acute,22:04:39.689721
1,76.0,Side,Right,Horizontal-Right,94.86%,97.58%,1,Acute,22:04:38.656670
1,75.0,Side,Right,Horizontal-Right,90.15%,96.65%,1,Acute,22:04:37.610715
1,78.0,Side,Right,Horizontal-Right,93.66%,96.94%,1,Acute,22:04:36.586687
1,75.0,Side,Left,Horizontal-Left,91.94%,96.20%,1,Acute,22:04:35.554663
1,78.0,Side,Right,Horizontal-Right,92.76%,97.26%,1,Acute,22:04:34.526613
1,79.0,Side,Left,Horizontal-Left,94.45%,96.09%,1,Acute,22:04:33.500426
1,78.0,Side,Left,Horizontal-Left,95.51%,97.69%,1,Acute,22:04:32.467763
1,76.0,,,,93.29%,97.20%,1,Acute,22:04:31.441107
1,77.0,Side,Left,Horizontal-Left,95.67%,97.01%,1,Acute,22:04:30.413969
1,78.0,Side,Left,Horizontal-Left,92.04%,96.36%,1,Acute,22:04:29.386666
1,76.0,Side,Right,Horizontal-Right,95.33%,96.99%,1,Acute,22:04:28.358217
1,76.0,Side,Right,Horizontal-Right,95.76%,96.23%,1,Acute,22:04:27.334194
1,78.0,Side,Left,Horizontal-Left,92.91%,95.05%,1,Acute,22:04:26.306676
1,76.0,Side,Left,Horizontal-Left,94.10%,96.03%,1,Acute,22:04:25.274687
1,76.0,Side,Right,Horizontal-Right,95.09%,96.19%,1,Acute,22:04:24.248576
1,74.0,Side,Left,Horizontal-Left,94.29%,96.96%,1,Acute,22:04:23.206686
1,76.0,Side,Left,Horizontal-Left,96.13%,96.97%,1,Acute,22:04:22.178348
1,78.0,,,,92.15%,96.44%,1,Acute,22:04:21.152760
1,76.0,,,,94.34%,96.40%,1,Acute,22:04:20.124788
1,80.0,,,,94.85%,98.05%,1,Acute,22:04:19.090732
1,75.0,Side,Left,Horizontal-Left,90.97%,96.17%,1,Acute,22:04:18.058561
1,77.0,Side,Right,Horizontal-Right,95.56%,97.84%,1,Acute,22:04:17.028023
1,73.0,Side,Right,Horizontal-Right,94.34%,96.31%,1,Acute,22:04:16.005191
1,79.0,Side,Right,Horizontal-Right,95.96%,97.91%,1,Acute,22:04:14.969849
1,74.0,Side,Right,Horizontal-Right,93.87%,93.85%,1,Acute,22:04:13.940891
1,77.0,Side,Right,Horizontal-Right,94.66%,96.69%,1,Acute,22:04:12.913643
1,78.0,Side,Right,Horizontal-Right,89.30%,97.56%,1,Acute,22:04:11.881909
1,77.0,Side,Right,Horizontal-Right,93.19%,97.79%,1,Acute,22:04:10.842684
1,79.0,Side,Left,Horizontal-Left,94.92%,97.89%,1,Acute,22:04:09.822494
1,74.0,,,,94.61%,96.60%,1,Acute,22:04:08.790712
1,74.0,Side,Right,Horizontal-Right,94.81%,97.11%,1,Acute,22:04:07.772644
1,75.0,Side,Left,Horizontal-Left,93.15%,95.28%,1,Acute,22:04:06.722399
1,74.0,Side,Left,Horizontal-Left,92.17%,96.19%,1,Acute,22:04:05.674742
1,82.0,,,,95.11%,97.14%,1,Acute,22:04:04.649013
1,78.0,Side,Right,Horizontal-Right,91.19%,97.55%,1,Acute,22:04:03.603889
1,79.0,,,,92.72%,98.08%,1,Acute,22:04:02.561920
1,79.0,Side,Right,Horizontal-Right,95.09%,97.73%,1,Acute,22:04:01.522249
1,79.0,,,,95.15%,96.88%,1,Acute,22:04:00.498191
1,76.0,Side,Right,Horizontal-Right,95.14%,97.46%,1,Acute,22:03:59.461117
1,78.0,,,,94.96%,96.30%,1,Acute,22:03:58.444127
1,76.0,Side,Left,Horizontal-Left,96.13%,95.39%,1,Acute,22:03:57.413665
1,81.0,Side,Left,Horizontal-Left,95.15%,97.63%,1,Acute,22:03:56.370703
1,75.0,Side,Left,Horizontal-Left,93.57%,96.59%,1,Acute,22:03:55.326580
1,76.0,Side,Right,Horizontal-Right,93.15%,97.25%,1,Acute,22:03:54.302212
1,80.0,Side,Right,Horizontal-Right,92.61%,97.73%,1,Acute,22:03:53.263857
1,74.0,Side,Right,Horizontal-Right,94.34%,97.73%,1,Acute,22:03:52.241569
1,76.0,Side,Right,Horizontal-Right,94.30%,97.92%,1,Acute,22:03:51.195223
1,75.0,Side,Left,Horizontal-Left,94.18%,97.22%,1,Acute,22:03:50.162659
1,77.0,,,,94.12%,98.23%,1,Acute,22:03:49.146601
1,76.0,,,,89.19%,96.58%,1,Acute,22:03:48.110128
1,75.0,Side,Right,Horizontal-Right,93.52%,95.25%,1,Acute,22:03:47.081110
1,79.0,Side,Right,Horizontal-Right,96.05%,97.37%,1,Acute,22:03:46.054706
1,76.0,Side,Left,Horizontal-Left,95.71%,97.41%,1,Acute,22:03:45.029046
1,78.0,Side,Right,Horizontal-Right,96.42%,97.08%,1,Acute,22:03:44.003468
1,76.0,Side,Right,Horizontal-Right,96.81%,96.81%,1,Acute,22:03:42.962854
1,77.0,Side,Right,Horizontal-Right,95.36%,97.39%,1,Acute,22:03:41.938584
1,78.0,Side,Right,Horizontal-Right,93.96%,97.20%,1,Acute,22:03:40.910377
1,78.0,Side,Right,Horizontal-Right,92.74%,96.46%,1,Acute,22:03:39.873786
1,77.0,,,,93.64%,97.07%,1,Acute,22:03:38.836429
1,77.0,Side,Left,Horizontal-Left,94.09%,96.91%,1,Acute,22:03:37.812942
1,75.0,Side,Right,Horizontal-Right,92.29%,97.44%,1,Acute,22:03:36.780009
1,78.0,Side,Right,Horizontal-Right,94.85%,96.26%,1,Acute,22:03:35.749867
1,75.0,Side,Left,Horizontal-Left,92.91%,96.45%,1,Acute,22:03:34.714696
1,75.0,,,,95.42%,95.57%,1,Acute,22:03:33.693494
1,73.0,,,,92.60%,97.09%,1,Acute,22:03:32.610672
1,78.0,Side,Left,Horizontal-Left,95.01%,97.82%,1,Acute,22:03:31.577625
1,74.0,Side,Left,Horizontal-Left,95.92%,96.53%,1,Acute,22:03:30.546716
1,75.0,,,,95.94%,97.81%,1,Acute,22:03:29.513582
1,72.0,Side,Right,Horizontal-Right,94.48%,97.49%,1,Acute,22:03:28.492710
1,75.0,Side,Left,Horizontal-Left,93.87%,97.71%,1,Acute,22:03:27.457171
1,75.0,,,,93.02%,97.00%,1,Acute,22:03:26.426154
1,75.0,,,,92.47%,97.22%,1,Acute,22:03:25.400306
1,75.0,Side,Right,Horizontal-Right,91.46%,97.38%,1,Acute,22:03:24.361174
1,78.0,Side,Left,Horizontal-Left,92.74%,96.33%,1,Acute,22:03:23.332025
1,81.0,Side,Left,Horizontal-Left,95.68%,95.44%,1,Acute,22:03:22.294667
1,76.0,Side,Right,Horizontal-Right,94.46%,96.72%,1,Acute,22:03:21.270657
1,79.0,Side,Right,Horizontal-Right,95.12%,97.03%,1,Acute,22:03:20.250642
1,75.0,,,,91.94%,97.17%,1,Acute,22:03:19.221027
1,75.0,Side,Left,Horizontal-Left,94.11%,96.92%,1,Acute,22:03:18.190691
1,77.0,Side,Left,Horizontal-Left,94.32%,95.81%,1,Acute,22:03:17.152840
1,77.0,Side,Right,Horizontal-Right,92.06%,96.43%,1,Acute,22:03:16.124886
1,79.0,,,,95.39%,98.14%,1,Acute,22:03:15.094687
1,76.0,Side,Left,Horizontal-Left,94.84%,97.86%,1,Acute,22:03:14.054664
1,75.0,,,,96.34%,96.65%,1,Acute,22:03:13.014779
1,75.0,Side,Right,Horizontal-Right,94.56%,94.36%,1,Acute,22:03:11.986519
1,75.0,Side,Left,Horizontal-Left,94.31%,95.40%,1,Acute,22:03:10.948697
1,74.0,Side,Left,Horizontal-Left,93.97%,96.56%,1,Acute,22:03:09.912812
1,76.0,Side,Left,Horizontal-Left,93.78%,96.93%,1,Acute,22:03:08.885929
1,79.0,Side,Right,Horizontal-Right,95.65%,95.36%,1,Acute,22:03:07.855939
1,78.0,Side,Left,Horizontal-Left,93.90%,96.20%,1,Acute,22:03:06.812836
1,75.0,Side,Right,Horizontal-Right,95.92%,96.95%,1,Acute,22:03:05.788308
1,78.0,Side,Right,Horizontal-Right,95.72%,96.66%,1,Acute,22:03:04.761307
1,78.0,,,,95.35%,95.42%,1,Acute,22:03:03.734661
1,75.0,Side,Left,Horizontal-Left,93.24%,96.65%,1,Acute,22:03:02.695847
1,78.0,Side,Right,Horizontal-Right,94.17%,97.36%,1,Acute,22:03:01.667142
1,75.0,Side,Right,Horizontal-Right,95.12%,96.43%,1,Acute,22:03:00.634280
1,74.0,,,,95.53%,96.80%,1,Acute,22:02:59.606658
1,79.0,Side,Left,Horizontal-Left,95.93%,96.87%,1,Acute,22:02:58.581178
1,78.0,Side,Left,Horizontal-Left,94.84%,97.11%,1,Acute,22:02:57.550327
1,75.0,Side,Left,Horizontal-Left,93.84%,97.61%,1,Acute,22:02:56.518382
1,78.0,Side,Left,Horizontal-Left,95.70%,96.11%,1,Acute,22:02:55.478604
1,80.0,Side,Left,Horizontal-Left,92.01%,95.79%,1,Acute,22:02:54.451903
1,76.0,Side,Left,Horizontal-Left,92.96%,97.67%,1,Acute,22:02:53.427503
1,80.0,Side,Right,Horizontal-Right,94.63%,96.00%,1,Acute,22:02:52.405589
1,76.0,Side,Left,Horizontal-Left,90.21%,97.06%,1,Acute,22:02:51.378664
1,78.0,Side,Left,Horizontal-Left,96.41%,96.23%,1,Acute,22:02:50.348071
1,78.0,Side,Right,Horizontal-Right,95.01%,97.23%,1,Acute,22:02:49.316907
1,76.0,,,,93.78%,97.32%,1,Acute,22:02:48.284905
1,76.0,Side,Right,Horizontal-Right,95.29%,96.83%,1,Acute,22:02:47.248201
1,75.0,Side,Right,Horizontal-Right,92.09%,97.75%,1,Acute,22:02:46.217668
1,77.0,Side,Left,Horizontal-Left,93.65%,96.36%,1,Acute,22:02:45.187810
1,76.0,Side,Left,Horizontal-Left,94.72%,96.94%,1,Acute,22:02:44.162640
1,79.0,Side,Left,Horizontal-Left,93.72%,97.67%,1,Acute,22:02:43.138219
1,75.0,Side,Left,Horizontal-Left,92.80%,97.10%,1,Acute,22:02:42.108511
1,75.0,Side,Right,Horizontal-Right,95.96%,96.36%,1,Acute,22:02:41.090143
1,75.0,Side,Right,Horizontal-Right,95.08%,94.67%,1,Acute,22:02:40.054697
1,79.0,Side,Right,Horizontal-Right,92.25%,95.35%,1,Acute,22:02:39.021563
1,83.0,Side,Right,Horizontal-Right,94.19%,97.29%,1,Acute,22:02:37.990568
1,76.0,Side,Right,Horizontal-Right,95.31%,97.03%,1,Acute,22:02:36.956871
1,75.0,Side,Right,Horizontal-Right,92.34%,97.23%,1,Acute,22:02:35.922126
1,78.0,Side,Right,Horizontal-Right,95.25%,96.41%,1,Acute,22:02:34.886889
1,76.0,,,,92.09%,98.29%,1,Acute,22:02:33.856079
1,77.0,Side,Right,Horizontal-Right,96.52%,97.56%,1,Acute,22:02:32.833593
1,78.0,Side,Left,Horizontal-Left,93.40%,97.09%,1,Acute,22:02:31.802658
1,75.0,,,,95.40%,95.86%,1,Acute,22:02:30.778557
1,79.0,Side,Left,Horizontal-Left,94.43%,97.70%,1,Acute,22:02:29.754411
1,77.0,Side,Left,Horizontal-Left,94.14%,95.61%,1,Acute,22:02:28.724729
1,76.0,Side,Right,Horizontal-Right,91.85%,96.24%,1,Acute,22:02:27.699780
1,81.0,Side,Right,Horizontal-Right,93.65%,96.39%,1,Acute,22:02:26.677141
1,78.0,,,,94.98%,97.35%,1,Acute,22:02:25.650249
1,79.0,Side,Right,Horizontal-Right,94.42%,96.96%,1,Acute,22:02:24.616178
1,78.0,Side,Left,Horizontal-Left,91.45%,97.81%,1,Acute,22:02:23.592677
1,76.0,Side,Right,Horizontal-Right,94.98%,97.26%,1,Acute,22:02:22.564539
1,78.0,Side,Left,Horizontal-Left,93.06%,97.44%,1,Acute,22:02:21.538673
1,79.0,Side,Right,Horizontal-Right,92.79%,96.53%,1,Acute,22:02:20.514310
1,78.0,Side,Left,Horizontal-Left,97.19%,96.64%,1,Acute,22:02:19.486688
1,76.0,Side,Right,Horizontal-Right,93.45%,97.08%,1,Acute,22:02:18.452352
1,76.0,Side,Right,Horizontal-Right,96.49%,95.59%,1,Acute,22:02:17.414673
1,78.0,,,,94.67%,96.92%,1,Acute,22:02:16.378687
1,78.0,Side,Right,Horizontal-Right,94.21%,98.07%,1,Acute,22:02:15.337152
1,78.0,Side,Left,Horizontal-Left,91.52%,95.85%,1,Acute,22:02:14.300516
1,77.0,Side,Right,Horizontal-Right,96.30%,96.93%,1,Acute,22:02:13.274671
1,79.0,Side,Left,Horizontal-Left,93.88%,96.50%,1,Acute,22:02:12.245842
1,79.0,Side,Right,Horizontal-Right,93.20%,96.69%,1,Acute,22:02:11.210677
1,79.0,Side,Right,Horizontal-Right,95.11%,96.29%,1,Acute,22:02:10.186665
1,73.0,,,,93.07%,97.67%,1,Acute,22:02:09.160397
1,80.0,,,,94.76%,96.71%,1,Acute,22:02:08.129426
