box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
1,89.0,,,,70.72%,97.21%,1,Right,21:54:17.354372
1,89.0,,,,65.80%,97.20%,1,Right,21:54:16.309359
1,91.0,,,,68.03%,97.08%,1,Right,21:54:15.270699
1,91.0,,,,68.04%,97.67%,1,Right,21:54:14.238629
1,91.0,,,,70.46%,97.63%,1,Right,21:54:13.213935
1,92.0,,,,64.56%,96.99%,1,Right,21:54:12.177461
1,91.0,,,,68.83%,97.41%,1,Right,21:54:11.139508
1,,,,,66.48%,97.13%,1,,21:54:10.113530
1,92.0,Side,Right,Horizontal-Right,65.92%,97.37%,1,Right,21:54:09.084382
1,92.0,,,,69.25%,97.34%,1,Right,21:54:08.045672
1,89.0,,,,68.15%,97.54%,1,Right,21:54:07.018369
1,92.0,,,,69.56%,97.53%,1,Right,21:54:05.978417
1,,,,,69.83%,96.52%,1,,21:54:04.956674
1,92.0,,,,70.14%,96.40%,1,Right,21:54:03.918679
1,92.0,,,,63.21%,96.84%,1,Right,21:54:02.870706
1,91.0,,,,65.89%,96.68%,1,Right,21:54:01.818732
1,92.0,,,,65.78%,96.78%,1,Right,21:54:00.788034
1,88.0,Side,Right,Horizontal-Right,67.40%,97.61%,1,Right,21:53:59.766677
1,92.0,,,,67.25%,97.16%,1,Right,21:53:58.729330
1,92.0,Side,Left,Horizontal-Left,75.71%,97.27%,1,Right,21:53:57.694759
1,91.0,,,,66.35%,97.23%,1,Right,21:53:56.662658
1,,,,,64.43%,97.75%,1,,21:53:55.636620
1,91.0,,,,69.37%,96.78%,1,Right,21:53:54.598698
1,92.0,Side,Right,Horizontal-Right,68.61%,96.05%,1,Right,21:53:53.546053
1,92.0,,,,71.74%,97.47%,1,Right,21:53:52.513031
1,92.0,,,,71.01%,96.04%,1,Right,21:53:51.489707
1,92.0,,,,69.37%,97.05%,1,Right,21:53:50.450662
1,92.0,,,,67.34%,97.16%,1,Right,21:53:49.410701
1,91.0,,,,70.47%,96.50%,1,Right,21:53:48.377081
1,92.0,Side,Left,Horizontal-Left,68.11%,97.11%,1,Right,21:53:47.346507
1,92.0,,,,68.43%,97.89%,1,Right,21:53:46.306658
1,92.0,,,,74.10%,97.68%,1,Right,21:53:45.273768
1,92.0,,,,67.34%,97.37%,1,Right,21:53:44.240375
1,92.0,,,,72.24%,96.66%,1,Right,21:53:43.204612
1,,,,,71.46%,96.55%,1,,21:53:42.151076
1,92.0,,,,72.00%,96.95%,1,Right,21:53:41.116818
1,92.0,,,,72.36%,96.98%,1,Right,21:53:40.090594
1,93.0,Side,Right,Horizontal-Right,70.36%,97.47%,1,Right,21:53:39.057076
1,92.0,,,,70.19%,97.36%,1,Right,21:53:38.022678
1,92.0,,,,66.38%,96.53%,1,Right,21:53:37.000001
1,92.0,,,,70.44%,97.38%,1,Right,21:53:35.966696
1,,,,,69.97%,98.30%,1,,21:53:34.938117
1,91.0,,,,69.34%,96.79%,1,Right,21:53:33.896982
1,92.0,,,,72.02%,97.07%,1,Right,21:53:32.864295
1,92.0,,,,67.85%,97.89%,1,Right,21:53:31.819813
1,92.0,Side,Left,Horizontal-Left,74.05%,96.50%,1,Right,21:53:30.785515
1,92.0,,,,67.67%,96.16%,1,Right,21:53:29.762669
1,92.0,,,,67.81%,96.79%,1,Right,21:53:28.734720
1,91.0,,,,70.38%,97.02%,1,Right,21:53:27.692652
1,91.0,,,,73.49%,97.88%,1,Right,21:53:26.657967
1,,,,,67.12%,96.95%,1,,21:53:25.620020
1,89.0,,,,68.60%,97.81%,1,Right,21:53:24.586355
1,92.0,,,,68.39%,96.91%,1,Right,21:53:23.554681
1,91.0,,,,70.17%,96.86%,1,Right,21:53:22.524241
1,89.0,,,,60.90%,97.57%,1,Right,21:53:21.509825
1,94.0,,,,62.71%,96.64%,1,Right,21:53:20.478695
1,93.0,Side,Left,Horizontal-Left,69.41%,97.20%,1,Right,21:53:19.450690
1,,,,,71.85%,95.74%,1,,21:53:18.418681
1,92.0,,,,70.17%,96.61%,1,Right,21:53:17.386690
1,89.0,,,,69.76%,97.67%,1,Right,21:53:16.355968
1,92.0,,,,67.46%,97.31%,1,Right,21:53:15.317683
1,89.0,,,,69.93%,97.75%,1,Right,21:53:14.258613
1,86.0,,,,70.34%,97.35%,1,Right,21:53:13.209632
1,,Side,Right,Horizontal-Right,63.01%,96.38%,1,,21:53:12.170147
1,,,,,70.89%,96.67%,1,,21:53:11.137175
1,92.0,,,,72.09%,96.97%,1,Right,21:53:10.077324
1,91.0,Side,Right,Horizontal-Right,73.33%,97.42%,1,Right,21:53:09.034886
1,94.0,Side,Right,Horizontal-Right,74.26%,95.85%,1,Right,21:53:08.004566
1,92.0,,,,66.17%,96.87%,1,Right,21:53:06.962699
1,91.0,,,,72.32%,96.26%,1,Right,21:53:05.926702
1,91.0,,,,65.72%,97.08%,1,Right,21:53:04.886585
1,93.0,,,,62.72%,96.60%,1,Right,21:53:03.857682
1,91.0,,,,69.73%,97.37%,1,Right,21:53:02.818049
1,89.0,,,,69.44%,97.17%,1,Right,21:53:01.776918
1,91.0,,,,67.40%,96.65%,1,Right,21:53:00.757397
1,91.0,,,,70.87%,97.61%,1,Right,21:52:59.724114
1,92.0,,,,67.80%,96.64%,1,Right,21:52:58.697030
1,92.0,Side,Right,Horizontal-Right,67.70%,96.77%,1,Right,21:52:57.672657
1,92.0,,,,64.38%,97.78%,1,Right,21:52:56.641542
1,92.0,,,,74.07%,97.63%,1,Right,21:52:55.612435
1,93.0,,,,71.63%,96.62%,1,Right,21:52:54.586680
1,91.0,,,,72.54%,97.57%,1,Right,21:52:53.559905
1,,Side,Left,Horizontal-Left,68.39%,97.27%,1,,21:52:52.535874
1,91.0,,,,74.87%,95.47%,1,Right,21:52:51.506720
1,,,,,68.71%,96.96%,1,,21:52:50.481705
1,89.0,,,,72.42%,97.51%,1,Right,21:52:49.453063
1,,,,,68.44%,97.32%,1,,21:52:48.426697
1,91.0,,,,68.75%,95.54%,1,Right,21:52:47.397289
1,91.0,,,,67.81%,97.53%,1,Right,21:52:46.379652
1,91.0,,,,66.98%,97.71%,1,Right,21:52:45.350515
1,92.0,,,,66.19%,96.89%,1,Right,21:52:44.324425
1,93.0,Side,Right,Horizontal-Right,69.60%,96.22%,1,Right,21:52:43.297393
1,89.0,,,,69.00%,96.60%,1,Right,21:52:42.262745
1,89.0,,,,64.29%,96.99%,1,Right,21:52:41.229502
1,92.0,,,,66.12%,96.77%,1,Right,21:52:40.194474
1,92.0,,,,66.28%,97.38%,1,Right,21:52:39.169790
1,,,,,65.74%,97.52%,1,,21:52:38.141724
1,91.0,,,,67.73%,97.25%,1,Right,21:52:37.113605
1,91.0,,,,68.45%,97.22%,1,Right,21:52:36.077483
1,92.0,,,,69.03%,97.79%,1,Right,21:52:35.045012
1,91.0,,,,73.03%,97.97%,1,Right,21:52:34.009875
1,88.0,,,,71.97%,97.71%,1,Right,21:52:32.988246
1,92.0,Side,Left,Horizontal-Left,61.45%,97.23%,1,Right,21:52:31.962708
1,91.0,,,,65.82%,97.14%,1,Right,21:52:30.922394
1,92.0,,,,60.26%,97.47%,1,Right,21:52:29.892097
1,92.0,,,,73.11%,97.55%,1,Right,21:52:28.856220
1,92.0,,,,66.97%,97.08%,1,Right,21:52:27.834663
1,92.0,,,,66.80%,96.87%,1,Right,21:52:26.798224
1,89.0,,,,70.43%,96.70%,1,Right,21:52:25.758901
1,89.0,Side,Left,Horizontal-Left,74.45%,97.08%,1,Right,21:52:24.718360
1,92.0,,,,63.34%,95.67%,1,Right,21:52:23.690672
1,,Side,Left,Horizontal-Left,69.94%,97.16%,1,,21:52:22.653901
1,92.0,,,,69.82%,97.17%,1,Right,21:52:21.626683
1,,Side,Right,Horizontal-Right,75.27%,96.67%,1,,21:52:20.590558
1,,,,,68.10%,96.42%,1,,21:52:19.576019
1,93.0,,,,73.28%,97.61%,1,Right,21:52:18.532039
1,92.0,,,,69.84%,96.89%,1,Right,21:52:17.477551
1,91.0,,,,66.21%,97.12%,1,Right,21:52:16.438633
1,94.0,,,,69.39%,97.67%,1,Right,21:52:15.393737
1,91.0,,,,67.80%,97.61%,1,Right,21:52:14.358689
1,92.0,,,,72.82%,97.36%,1,Right,21:52:13.316440
1,91.0,,,,71.75%,96.02%,1,Right,21:52:12.276042
1,92.0,,,,68.31%,97.00%,1,Right,21:52:11.244234
1,,,,,64.07%,97.47%,1,,21:52:10.214384
1,92.0,,,,70.53%,96.82%,1,Right,21:52:09.164035
1,92.0,,,,70.02%,97.11%,1,Right,21:52:08.134248
1,91.0,,,,68.25%,96.29%,1,Right,21:52:07.090646
1,,Side,Left,Horizontal-Left,68.86%,96.47%,1,,21:52:06.048864
1,91.0,,,,69.48%,97.39%,1,Right,21:52:05.020467
1,92.0,,,,68.13%,97.18%,1,Right,21:52:03.978714
1,89.0,,,,67.12%,96.67%,1,Right,21:52:02.959757
