box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
1,49.0,Side,Right,Horizontal-Right,99.49%,98.69%,1,Straight,21:43:49.818079
1,52.0,Side,Right,Horizontal-Right,99.61%,98.23%,1,Acute,21:43:48.784064
1,52.0,Side,Right,Horizontal-Right,99.37%,98.57%,1,Acute,21:43:47.750635
1,50.0,Side,Left,Horizontal-Left,99.62%,97.91%,1,,21:43:46.717808
1,51.0,Side,Right,Horizontal-Right,99.53%,98.39%,1,Acute,21:43:45.688926
1,50.0,Side,Right,Horizontal-Right,99.52%,98.58%,1,,21:43:44.658491
1,62.0,Side,Left,Horizontal-Left,99.42%,98.05%,1,Acute,21:43:43.628453
1,50.0,Side,Right,Horizontal-Right,99.64%,98.80%,1,,21:43:42.604860
1,50.0,Side,Right,Horizontal-Right,99.69%,98.38%,1,,21:43:41.577159
1,61.0,Side,Right,Horizontal-Right,99.63%,97.23%,1,Acute,21:43:40.549614
1,52.0,Side,Right,Horizontal-Right,99.54%,97.66%,1,Acute,21:43:39.527948
1,51.0,Side,Right,Horizontal-Right,99.49%,98.28%,1,Acute,21:43:38.494318
1,52.0,Side,Right,Horizontal-Right,99.59%,98.67%,1,Acute,21:43:37.468978
1,52.0,Side,Right,Horizontal-Right,99.43%,97.04%,1,Acute,21:43:36.443878
1,52.0,Side,Right,Horizontal-Right,99.46%,97.99%,1,Acute,21:43:35.417830
1,50.0,Side,Right,Horizontal-Right,99.56%,98.08%,1,,21:43:34.388046
1,50.0,Side,Right,Horizontal-Right,99.44%,98.52%,1,,21:43:33.357401
1,50.0,Side,Left,Horizontal-Left,99.48%,98.39%,1,,21:43:32.336185
1,50.0,Side,Right,Horizontal-Right,99.55%,98.32%,1,,21:43:31.298027
1,50.0,Side,Right,Horizontal-Right,99.54%,98.18%,1,,21:43:30.265560
1,50.0,Side,Right,Horizontal-Right,99.15%,98.94%,1,,21:43:29.238046
1,49.0,Side,Right,Horizontal-Right,99.46%,98.55%,1,Straight,21:43:28.212975
1,50.0,Side,Left,Horizontal-Left,99.67%,98.38%,1,,21:43:27.186661
1,52.0,Side,Left,Horizontal-Left,99.52%,98.46%,1,Acute,21:43:26.153358
1,51.0,Side,Right,Horizontal-Right,99.56%,98.32%,1,Acute,21:43:25.117814
1,51.0,Side,Right,Horizontal-Right,99.59%,97.69%,1,Acute,21:43:24.085924
1,50.0,Side,Right,Horizontal-Right,99.51%,98.04%,1,,21:43:23.057620
1,50.0,Side,Right,Horizontal-Right,99.42%,98.49%,1,,21:43:22.018305
1,52.0,Side,Right,Horizontal-Right,99.61%,98.18%,1,Acute,21:43:20.992000
1,51.0,Side,Right,Horizontal-Right,99.46%,98.31%,1,Acute,21:43:19.961952
1,50.0,Side,Left,Horizontal-Left,99.15%,99.07%,1,,21:43:18.938750
1,52.0,Side,Right,Horizontal-Right,99.61%,98.54%,1,Acute,21:43:17.902415
1,50.0,Side,Right,Horizontal-Right,99.58%,98.76%,1,,21:43:16.872317
1,50.0,Side,Right,Horizontal-Right,99.63%,97.14%,1,,21:43:15.818902
1,49.0,Side,Right,Horizontal-Right,99.64%,98.29%,1,Straight,21:43:14.793148
1,51.0,Side,Right,Horizontal-Right,99.60%,98.18%,1,Acute,21:43:13.766687
1,64.0,Side,Left,Horizontal-Left,99.65%,98.51%,1,Acute,21:43:12.734844
1,61.0,Side,Right,Horizontal-Right,99.30%,98.78%,1,Acute,21:43:11.710667
1,65.0,Side,Left,Horizontal-Left,99.55%,96.96%,1,Acute,21:43:10.684158
1,52.0,Side,Right,Horizontal-Right,99.54%,98.32%,1,Acute,21:43:09.658683
1,50.0,Side,Left,Horizontal-Left,99.53%,98.06%,1,,21:43:08.629893
1,51.0,Side,Right,Horizontal-Right,99.52%,98.70%,1,Acute,21:43:07.607006
1,50.0,Side,Right,Horizontal-Right,99.47%,98.24%,1,,21:43:06.574676
1,52.0,Side,Left,Horizontal-Left,99.48%,98.91%,1,Acute,21:43:05.542702
1,50.0,Side,Left,Horizontal-Left,99.58%,97.76%,1,,21:43:04.514668
1,49.0,Side,Right,Horizontal-Right,99.59%,97.65%,1,Straight,21:43:03.477874
1,63.0,Side,Right,Horizontal-Right,99.50%,98.42%,1,Acute,21:43:02.433063
1,62.0,Side,Right,Horizontal-Right,99.63%,98.56%,1,Acute,21:43:01.401955
1,51.0,Side,Right,Horizontal-Right,99.47%,97.90%,1,Acute,21:43:00.364272
1,52.0,Side,Left,Horizontal-Left,99.39%,97.53%,1,Acute,21:42:59.334632
1,52.0,Side,Right,Horizontal-Right,99.49%,97.66%,1,Acute,21:42:58.300191
1,49.0,Side,Right,Horizontal-Right,99.61%,98.60%,1,Straight,21:42:57.232507
1,64.0,Side,Right,Horizontal-Right,99.48%,98.02%,1,Acute,21:42:56.190698
1,51.0,Side,Right,Horizontal-Right,99.46%,97.47%,1,Acute,21:42:55.138579
1,52.0,Side,Right,Horizontal-Right,99.61%,98.27%,1,Acute,21:42:54.108122
1,51.0,Side,Right,Horizontal-Right,99.30%,98.03%,1,Acute,21:42:53.055851
1,67.0,Side,Right,Horizontal-Right,99.54%,98.62%,1,Acute,21:42:52.017306
1,53.0,Side,Right,Horizontal-Right,99.59%,98.11%,1,Acute,21:42:50.985867
1,51.0,Side,Right,Horizontal-Right,99.52%,98.27%,1,Acute,21:42:49.940506
1,50.0,Side,Right,Horizontal-Right,99.59%,97.69%,1,,21:42:48.914677
1,50.0,Side,Right,Horizontal-Right,99.55%,98.41%,1,,21:42:47.876389
1,52.0,,,,99.43%,97.25%,1,Acute,21:42:46.832854
1,51.0,Side,Right,Horizontal-Right,99.45%,96.49%,1,Acute,21:42:45.794516
1,51.0,Side,Right,Horizontal-Right,99.46%,98.00%,1,Acute,21:42:44.774660
1,51.0,Side,Right,Horizontal-Right,99.51%,98.79%,1,Acute,21:42:43.746169
1,50.0,Side,Right,Horizontal-Right,99.52%,97.55%,1,,21:42:42.708437
1,52.0,Side,Left,Horizontal-Left,99.47%,98.42%,1,Acute,21:42:41.682145
1,49.0,Side,Right,Horizontal-Right,99.60%,98.31%,1,Straight,21:42:40.656524
1,49.0,Side,Right,Horizontal-Right,99.34%,98.13%,1,Straight,21:42:39.630635
1,63.0,Side,Right,Horizontal-Right,99.48%,98.48%,1,Acute,21:42:38.602676
1,50.0,Side,Left,Horizontal-Left,99.56%,97.17%,1,,21:42:37.557787
1,52.0,Side,Right,Horizontal-Right,99.59%,98.07%,1,Acute,21:42:36.522680
1,50.0,Side,Right,Horizontal-Right,99.41%,96.96%,1,,21:42:35.508345
1,52.0,Side,Right,Horizontal-Right,99.61%,98.46%,1,Acute,21:42:34.476914
1,49.0,Side,Right,Horizontal-Right,99.58%,96.85%,1,Straight,21:42:33.444069
1,51.0,Side,Right,Horizontal-Right,99.57%,97.74%,1,Acute,21:42:32.426030
1,52.0,Side,Right,Horizontal-Right,99.55%,98.48%,1,Acute,21:42:31.392887
1,51.0,Side,Right,Horizontal-Right,99.46%,98.03%,1,Acute,21:42:30.364981
1,50.0,Side,Right,Horizontal-Right,99.50%,97.70%,1,,21:42:29.337159
1,64.0,Side,Right,Horizontal-Right,99.45%,98.63%,1,Acute,21:42:28.308536
1,52.0,Side,Right,Horizontal-Right,99.51%,98.17%,1,Acute,21:42:27.268932
1,51.0,Side,Right,Horizontal-Right,99.48%,97.74%,1,Acute,21:42:26.238443
1,51.0,Side,Right,Horizontal-Right,99.43%,98.67%,1,Acute,21:42:25.213412
1,50.0,Side,Left,Horizontal-Left,99.45%,98.81%,1,,21:42:24.185563
1,51.0,Side,Right,Horizontal-Right,99.62%,98.12%,1,Acute,21:42:23.158086
1,52.0,Side,Right,Horizontal-Right,99.47%,97.65%,1,Acute,21:42:22.121058
1,51.0,Side,Right,Horizontal-Right,99.49%,98.45%,1,Acute,21:42:21.086180
1,53.0,Side,Left,Horizontal-Left,99.53%,97.15%,1,Acute,21:42:20.062098
1,50.0,Side,Right,Horizontal-Right,99.58%,97.28%,1,,21:42:19.034390
1,49.0,Side,Right,Horizontal-Right,99.47%,98.87%,1,Straight,21:42:18.010707
