box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
1,118.0,,,,99.30%,92.45%,1,Obtuse,01:44:23.560376
1,117.0,,,,99.64%,94.73%,1,Obtuse,01:44:22.522058
1,119.0,Side,Left,Horizontal-Left,99.73%,78.98%,1,Obtuse,01:44:21.482112
1,118.0,,,,99.62%,85.32%,1,Obtuse,01:44:20.452456
1,118.0,Side,Right,Horizontal-Right,99.73%,92.32%,1,Obtuse,01:44:19.394175
1,118.0,,,,99.72%,95.39%,1,Obtuse,01:44:18.347816
1,118.0,,,,99.72%,94.17%,1,Obtuse,01:44:17.306172
1,118.0,,,,99.70%,93.60%,1,Obtuse,01:44:16.274091
1,116.0,,,,99.58%,88.85%,1,Obtuse,01:44:15.237072
1,118.0,Side,Left,Horizontal-Left,99.72%,91.47%,1,Obtuse,01:44:14.208717
1,118.0,Side,Right,Horizontal-Right,99.53%,88.91%,1,Obtuse,01:44:13.179227
1,119.0,,,,99.69%,95.85%,1,Obtuse,01:44:12.147728
1,118.0,Side,Right,Horizontal-Right,99.65%,93.78%,1,Obtuse,01:44:11.114116
1,118.0,,,,99.65%,91.78%,1,Obtuse,01:44:10.075682
1,119.0,,,,99.62%,91.74%,1,Obtuse,01:44:09.050055
1,117.0,Side,Right,Horizontal-Right,99.73%,94.98%,1,Obtuse,01:44:08.016098
1,119.0,Side,Left,Horizontal-Left,99.69%,93.60%,1,Obtuse,01:44:06.989699
1,117.0,,,,99.72%,91.46%,1,Obtuse,01:44:05.960966
1,119.0,,,,99.66%,96.81%,1,Obtuse,01:44:04.932904
1,119.0,,,,99.47%,95.86%,1,Obtuse,01:44:03.894127
1,118.0,Side,Right,Horizontal-Right,99.74%,91.98%,1,Obtuse,01:44:02.855062
1,117.0,,,,99.72%,95.53%,1,Obtuse,01:44:01.813448
1,118.0,,,,99.63%,87.83%,1,Obtuse,01:44:00.783868
1,117.0,,,,99.68%,96.07%,1,Obtuse,01:43:59.762084
1,117.0,Side,Right,Horizontal-Right,99.63%,91.28%,1,Obtuse,01:43:58.729145
1,119.0,,,,99.68%,92.02%,1,Obtuse,01:43:57.698097
1,118.0,,,,99.64%,88.10%,1,Obtuse,01:43:56.673168
1,117.0,,,,99.72%,96.63%,1,Obtuse,01:43:55.643190
1,117.0,,,,99.74%,92.49%,1,Obtuse,01:43:54.615529
1,117.0,,,,99.70%,87.81%,1,Obtuse,01:43:53.590117
1,116.0,,,,99.74%,91.07%,1,Obtuse,01:43:52.560445
1,118.0,Side,Right,Horizontal-Right,99.60%,92.88%,1,Obtuse,01:43:51.529453
1,117.0,Side,Right,Horizontal-Right,99.71%,93.81%,1,Obtuse,01:43:50.499432
1,118.0,Side,Left,Horizontal-Left,99.62%,92.17%,1,Obtuse,01:43:49.462109
1,116.0,,,,99.75%,92.13%,1,Obtuse,01:43:48.432364
1,118.0,,,,99.71%,92.80%,1,Obtuse,01:43:47.389291
1,118.0,Side,Left,Horizontal-Left,99.73%,91.05%,1,Obtuse,01:43:46.360843
