box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
1,31,,,,82.38%,81.95%,1,,20:58:16.356315
1,33,,,,81.71%,83.87%,1,,20:58:15.290680
1,27,,,,84.98%,84.18%,1,,20:58:14.186688
1,25,,,,84.18%,74.76%,1,,20:58:13.135688
1,29,,,,79.23%,82.55%,1,,20:58:12.078689
1,31,,,,84.23%,85.48%,1,,20:58:11.034693
1,25,,,,82.07%,83.09%,1,,20:58:10.001750
1,31,,,,77.63%,84.33%,1,,20:58:08.946685
1,25,,,,82.77%,85.15%,1,,20:58:07.900016
1,28,,,,85.51%,81.88%,1,,20:58:06.854228
1,30,,,,84.27%,79.32%,1,,20:58:05.806696
1,25,,,,86.29%,81.61%,1,,20:58:04.766639
1,30,,,,81.82%,85.11%,1,,20:58:03.708605
1,34,,,,80.81%,77.65%,1,,20:58:02.669993
1,26,,,,79.82%,89.69%,1,,20:58:01.626010
1,31,,,,81.74%,79.09%,1,,20:58:00.578673
1,35,,,,81.92%,82.96%,1,,20:57:59.516812
1,29,,,,79.90%,73.79%,1,,20:57:58.481240
1,32,,,,71.97%,73.56%,1,,20:57:57.441803
1,32,,,,87.42%,82.81%,1,,20:57:56.382722
1,26,,,,82.21%,88.04%,1,,20:57:55.340207
1,31,,,,70.80%,82.89%,1,,20:57:54.290749
1,31,Side,Left,Horizontal-Left,78.64%,79.33%,1,,20:57:53.242394
1,28,,,,80.17%,89.60%,1,,20:57:52.186466
1,31,,,,86.26%,83.95%,1,,20:57:51.142019
1,30,,,,81.65%,81.15%,1,,20:57:50.098649
1,25,,,,86.37%,78.29%,1,,20:57:49.054286
1,27,,,,79.85%,77.92%,1,,20:57:48.002504
1,31,,,,74.48%,77.52%,1,,20:57:46.966690
1,31,,,,87.71%,73.75%,1,,20:57:45.918691
1,27,,,,79.92%,77.21%,1,,20:57:44.864769
1,30,,,,84.17%,83.55%,1,,20:57:43.822669
1,31,,,,82.88%,80.82%,1,,20:57:42.781548
1,29,,,,80.64%,81.66%,1,,20:57:41.730726
1,29,,,,82.10%,84.07%,1,,20:57:40.678652
1,27,,,,87.64%,75.19%,1,,20:57:39.638240
1,29,,,,77.97%,82.68%,1,,20:57:38.586676
1,31,,,,83.14%,76.34%,1,,20:57:37.538665
1,33,,,,87.61%,74.82%,1,,20:57:36.491897
1,31,Side,Right,Horizontal-Right,82.78%,70.04%,1,,20:57:35.441226
1,30,,,,83.58%,84.46%,1,,20:57:34.393223
1,28,,,,75.36%,77.41%,1,,20:57:33.345297
1,27,,,,76.69%,81.07%,1,,20:57:32.298650
1,30,,,,75.38%,86.87%,1,,20:57:31.248151
1,24,,,,73.01%,67.95%,1,,20:57:30.200916
1,31,,,,80.23%,82.92%,1,,20:57:29.158628
1,27,,,,79.07%,80.82%,1,,20:57:28.113776
1,28,,,,78.05%,83.59%,1,,20:57:27.060365
1,29,,,,79.75%,77.83%,1,,20:57:26.020987
1,25,,,,80.21%,80.02%,1,,20:57:24.974215
1,31,,,,73.49%,86.90%,1,,20:57:23.942270
1,32,,,,78.85%,88.21%,1,,20:57:22.900789
1,25,Side,Right,Horizontal-Right,80.89%,80.86%,1,,20:57:21.840571
1,30,,,,82.84%,80.97%,1,,20:57:20.803898
1,28,,,,83.14%,80.19%,1,,20:57:19.758595
1,31,,,,79.87%,80.83%,1,,20:57:18.712542
1,32,,,,69.66%,81.19%,1,,20:57:17.658710
1,31,Side,Right,Horizontal-Right,87.87%,85.65%,1,,20:57:16.618679
1,32,,,,78.43%,82.09%,1,,20:57:15.557021
1,30,Side,Left,Horizontal-Left,80.26%,75.61%,1,,20:57:14.495834
1,27,,,,73.94%,77.88%,1,,20:57:13.462400
1,26,,,,78.58%,72.16%,1,,20:57:12.416794
1,35,,,,74.35%,77.72%,1,,20:57:11.355966
1,27,,,,76.33%,81.27%,1,,20:57:10.312004
1,28,Side,Left,Horizontal-Left,82.54%,85.02%,1,,20:57:09.258675
1,27,,,,81.34%,82.43%,1,,20:57:08.202700
1,32,,,,74.80%,80.45%,1,,20:57:07.146217
1,29,,,,81.43%,84.25%,1,,20:57:06.106546
1,31,,,,77.05%,83.60%,1,,20:57:05.050703
1,32,,,,83.22%,75.15%,1,,20:57:03.992931
1,26,,,,77.91%,80.43%,1,,20:57:02.968251
1,26,,,,77.77%,85.66%,1,,20:57:01.908521
1,26,,,,75.79%,83.02%,1,,20:57:00.857158
1,26,,,,80.66%,84.40%,1,,20:56:59.806203
1,27,,,,73.15%,75.51%,1,,20:56:58.776546
1,31,,,,78.29%,83.65%,1,,20:56:57.730576
1,31,,,,82.73%,75.12%,1,,20:56:56.685224
1,31,,,,74.62%,87.16%,1,,20:56:55.625386
1,26,Side,Left,Horizontal-Left,81.51%,86.57%,1,,20:56:54.558379
1,26,,,,81.37%,83.57%,1,,20:56:53.493018
1,32,,,,77.38%,84.27%,1,,20:56:52.437027
1,31,,,,72.47%,79.57%,1,,20:56:51.397611
1,31,,,,81.39%,90.13%,1,,20:56:50.369131
1,28,,,,80.31%,81.99%,1,,20:56:49.309208
1,35,,,,82.02%,78.93%,1,,20:56:48.258676
1,27,,,,83.52%,79.15%,1,,20:56:47.221848
1,31,,,,87.37%,77.74%,1,,20:56:46.176358
