box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
1,140.0,Side,Left,Horizontal-Left,99.88%,92.21%,1,Straight,22:14:24.229026
1,140.0,Side,Right,Horizontal-Right,99.91%,92.21%,1,Straight,22:14:23.189350
1,140.0,Side,Right,Horizontal-Right,99.91%,92.23%,1,Straight,22:14:22.150685
1,142.0,Side,Left,Horizontal-Left,99.90%,92.43%,1,Straight,22:14:21.105259
1,138.0,Side,Left,Horizontal-Left,99.93%,92.47%,1,Straight,22:14:20.062683
1,139.0,Side,Right,Horizontal-Right,99.94%,92.16%,1,Straight,22:14:19.034686
1,138.0,Side,Right,Horizontal-Right,99.92%,93.24%,1,Straight,22:14:17.988697
1,138.0,Side,Left,Horizontal-Left,99.91%,93.10%,1,Straight,22:14:16.966062
1,139.0,Side,Left,Horizontal-Left,99.92%,87.57%,1,Straight,22:14:15.938666
1,138.0,Side,Right,Horizontal-Right,99.92%,89.58%,1,Straight,22:14:14.893968
1,142.0,Side,Right,Horizontal-Right,99.91%,90.14%,1,Straight,22:14:13.866682
1,138.0,Side,Right,Horizontal-Right,99.91%,91.86%,1,Straight,22:14:12.830692
1,140.0,Side,Left,Horizontal-Left,99.92%,93.07%,1,Straight,22:14:11.798453
1,138.0,Side,Right,Horizontal-Right,99.92%,90.67%,1,Straight,22:14:10.761021
1,140.0,Side,Right,Horizontal-Right,99.94%,92.32%,1,Straight,22:14:09.705368
1,139.0,Side,Right,Horizontal-Right,99.93%,91.27%,1,Straight,22:14:08.657668
1,140.0,Side,Right,Horizontal-Right,99.90%,91.29%,1,Straight,22:14:07.634630
1,139.0,Side,Left,Horizontal-Left,99.90%,89.77%,1,Straight,22:14:06.600411
1,139.0,Side,Left,Horizontal-Left,99.92%,91.68%,1,Straight,22:14:05.561276
1,140.0,Side,Left,Horizontal-Left,99.93%,90.36%,1,Straight,22:14:04.533298
1,137.0,Side,Left,Horizontal-Left,99.93%,93.23%,1,Straight,22:14:03.493768
1,139.0,Side,Left,Horizontal-Left,99.89%,91.97%,1,Straight,22:14:02.460824
1,138.0,Side,Right,Horizontal-Right,99.93%,92.91%,1,Straight,22:14:01.446604
1,139.0,Side,Right,Horizontal-Right,99.90%,91.37%,1,Straight,22:14:00.417753
1,139.0,Side,Left,Horizontal-Left,99.92%,91.68%,1,Straight,22:13:59.376403
1,142.0,Side,Left,Horizontal-Left,99.92%,87.04%,1,Straight,22:13:58.349652
1,142.0,Side,Right,Horizontal-Right,99.91%,91.73%,1,Straight,22:13:57.316316
1,139.0,Side,Right,Horizontal-Right,99.92%,92.15%,1,Straight,22:13:56.282300
1,139.0,Side,Left,Horizontal-Left,99.92%,92.85%,1,Straight,22:13:55.249489
1,139.0,Side,Right,Horizontal-Right,99.92%,90.42%,1,Straight,22:13:54.216043
1,139.0,Side,Left,Horizontal-Left,99.90%,92.44%,1,Straight,22:13:53.181176
1,136.0,Side,Left,Horizontal-Left,99.91%,90.51%,1,Straight,22:13:52.140962
1,142.0,Side,Left,Horizontal-Left,99.91%,90.74%,1,Straight,22:13:51.098686
1,138.0,Side,Left,Horizontal-Left,99.91%,93.04%,1,Straight,22:13:50.081807
1,139.0,Side,Right,Horizontal-Right,99.91%,91.32%,1,Straight,22:13:49.045367
1,139.0,Side,Left,Horizontal-Left,99.92%,90.27%,1,Straight,22:13:48.000180
1,140.0,Side,Right,Horizontal-Right,99.93%,91.15%,1,Straight,22:13:46.982629
1,139.0,Side,Right,Horizontal-Right,99.91%,90.51%,1,Straight,22:13:45.945645
1,140.0,Side,Right,Horizontal-Right,99.92%,90.72%,1,Straight,22:13:44.913774
1,138.0,Side,Left,Horizontal-Left,99.93%,89.28%,1,Straight,22:13:43.870675
1,142.0,Side,Right,Horizontal-Right,99.89%,89.90%,1,Straight,22:13:42.840043
1,142.0,Side,Right,Horizontal-Right,99.93%,94.12%,1,Straight,22:13:41.802431
1,139.0,Side,Right,Horizontal-Right,99.92%,90.08%,1,Straight,22:13:40.774687
1,139.0,Side,Left,Horizontal-Left,99.94%,89.03%,1,Straight,22:13:39.744695
1,141.0,Side,Right,Horizontal-Right,99.92%,91.24%,1,Straight,22:13:38.710083
1,138.0,Side,Right,Horizontal-Right,99.93%,92.75%,1,Straight,22:13:37.674010
1,139.0,Side,Left,Horizontal-Left,99.90%,90.77%,1,Straight,22:13:36.628335
1,139.0,Side,Left,Horizontal-Left,99.87%,88.63%,1,Straight,22:13:35.598686
1,142.0,Side,Left,Horizontal-Left,99.88%,91.18%,1,Straight,22:13:34.557559
1,142.0,Side,Left,Horizontal-Left,99.94%,92.23%,1,Straight,22:13:33.526811
1,140.0,Side,Left,Horizontal-Left,99.92%,91.29%,1,Straight,22:13:32.500246
1,139.0,Side,Right,Horizontal-Right,99.93%,91.13%,1,Straight,22:13:31.473530
1,142.0,Side,Left,Horizontal-Left,99.93%,89.18%,1,Straight,22:13:30.448529
1,139.0,Side,Right,Horizontal-Right,99.90%,87.19%,1,Straight,22:13:29.419802
1,142.0,Side,Right,Horizontal-Right,99.86%,89.10%,1,Straight,22:13:28.382694
1,138.0,Side,Left,Horizontal-Left,99.92%,91.80%,1,Straight,22:13:27.351719
1,140.0,Side,Left,Horizontal-Left,99.92%,94.89%,1,Straight,22:13:26.310673
1,141.0,Side,Right,Horizontal-Right,99.92%,92.69%,1,Straight,22:13:25.270627
1,142.0,Side,Right,Horizontal-Right,99.94%,91.32%,1,Straight,22:13:24.243920
1,140.0,Side,Right,Horizontal-Right,99.92%,92.04%,1,Straight,22:13:23.214121
1,142.0,Side,Right,Horizontal-Right,99.91%,93.60%,1,Straight,22:13:22.186671
1,138.0,Side,Right,Horizontal-Right,99.91%,92.03%,1,Straight,22:13:21.165317
1,142.0,Side,Right,Horizontal-Right,99.91%,91.69%,1,Straight,22:13:20.133075
1,140.0,Side,Right,Horizontal-Right,99.93%,93.21%,1,Straight,22:13:19.090782
1,138.0,Side,Right,Horizontal-Right,99.91%,92.50%,1,Straight,22:13:18.050314
1,140.0,Side,Left,Horizontal-Left,99.90%,93.23%,1,Straight,22:13:17.010702
1,138.0,Side,Left,Horizontal-Left,99.92%,92.48%,1,Straight,22:13:15.988510
1,139.0,Side,Right,Horizontal-Right,99.90%,90.33%,1,Straight,22:13:14.949369
1,142.0,Side,Right,Horizontal-Right,99.90%,93.59%,1,Straight,22:13:13.897205
1,139.0,Side,Left,Horizontal-Left,99.88%,92.63%,1,Straight,22:13:12.866062
1,141.0,Side,Left,Horizontal-Left,99.90%,92.34%,1,Straight,22:13:11.830704
1,142.0,Side,Left,Horizontal-Left,99.92%,90.23%,1,Straight,22:13:10.792961
1,139.0,Side,Left,Horizontal-Left,99.89%,90.47%,1,Straight,22:13:09.749589
1,139.0,Side,Right,Horizontal-Right,99.93%,90.91%,1,Straight,22:13:08.705405
1,138.0,Side,Left,Horizontal-Left,99.90%,95.70%,1,Straight,22:13:07.670583
1,140.0,Side,Right,Horizontal-Right,99.91%,93.09%,1,Straight,22:13:06.623799
1,142.0,Side,Left,Horizontal-Left,99.93%,89.44%,1,Straight,22:13:05.602604
1,142.0,Side,Left,Horizontal-Left,99.90%,91.93%,1,Straight,22:13:04.576714
1,139.0,Side,Left,Horizontal-Left,99.92%,90.45%,1,Straight,22:13:03.538565
1,139.0,Side,Right,Horizontal-Right,99.92%,93.86%,1,Straight,22:13:02.510957
1,139.0,Side,Right,Horizontal-Right,99.91%,92.30%,1,Straight,22:13:01.485546
1,142.0,Side,Left,Horizontal-Left,99.91%,91.21%,1,Straight,22:13:00.460227
1,140.0,Side,Left,Horizontal-Left,99.92%,87.19%,1,Straight,22:12:59.430661
1,140.0,Side,Left,Horizontal-Left,99.89%,91.71%,1,Straight,22:12:58.385581
1,139.0,Side,Left,Horizontal-Left,99.91%,92.30%,1,Straight,22:12:57.352320
1,140.0,Side,Right,Horizontal-Right,99.91%,91.18%,1,Straight,22:12:56.317111
1,140.0,Side,Right,Horizontal-Right,99.92%,91.43%,1,Straight,22:12:55.276678
1,139.0,Side,Left,Horizontal-Left,99.89%,89.19%,1,Straight,22:12:54.257494
1,142.0,Side,Left,Horizontal-Left,99.93%,88.06%,1,Straight,22:12:53.226696
1,139.0,Side,Right,Horizontal-Right,99.90%,93.94%,1,Straight,22:12:52.198316
1,139.0,Side,Left,Horizontal-Left,99.88%,92.10%,1,Straight,22:12:51.173836
1,140.0,Side,Right,Horizontal-Right,99.90%,89.90%,1,Straight,22:12:50.138703
1,142.0,Side,Right,Horizontal-Right,99.90%,91.21%,1,Straight,22:12:49.102680
1,142.0,Side,Right,Horizontal-Right,99.92%,93.19%,1,Straight,22:12:48.070662
1,140.0,Side,Left,Horizontal-Left,99.91%,94.40%,1,Straight,22:12:47.034679
1,142.0,Side,Right,Horizontal-Right,99.93%,96.15%,1,Straight,22:12:46.002246
1,138.0,Side,Right,Horizontal-Right,99.89%,91.49%,1,Straight,22:12:44.964342
1,139.0,Side,Left,Horizontal-Left,99.91%,90.60%,1,Straight,22:12:43.932819
1,140.0,Side,Left,Horizontal-Left,99.92%,93.62%,1,Straight,22:12:42.898694
1,142.0,Side,Left,Horizontal-Left,99.89%,88.37%,1,Straight,22:12:41.870043
1,138.0,Side,Right,Horizontal-Right,99.87%,90.68%,1,Straight,22:12:40.839094
1,140.0,Side,Right,Horizontal-Right,99.91%,91.80%,1,Straight,22:12:39.816919
1,142.0,Side,Left,Horizontal-Left,99.90%,93.72%,1,Straight,22:12:38.781746
1,137.0,Side,Left,Horizontal-Left,99.92%,91.27%,1,Straight,22:12:37.745332
1,142.0,Side,Left,Horizontal-Left,99.91%,91.11%,1,Straight,22:12:36.724036
1,139.0,Side,Right,Horizontal-Right,99.90%,88.39%,1,Straight,22:12:35.696908
1,142.0,Side,Right,Horizontal-Right,99.93%,89.28%,1,Straight,22:12:34.662703
1,142.0,Side,Left,Horizontal-Left,99.91%,92.05%,1,Straight,22:12:33.644300
1,139.0,Side,Left,Horizontal-Left,99.91%,92.69%,1,Straight,22:12:32.598321
