box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
1,135.0,Side,Right,Horizontal-Right,99.58%,98.68%,1,Straight,21:24:32.219870
1,136.0,Side,Left,Horizontal-Left,99.54%,99.10%,1,Straight,21:24:31.186667
1,135.0,Side,Right,Horizontal-Right,99.42%,97.98%,1,Straight,21:24:30.148948
1,136.0,Side,Left,Horizontal-Left,99.03%,98.65%,1,Straight,21:24:29.125683
1,136.0,Side,Left,Horizontal-Left,99.23%,98.67%,1,Straight,21:24:28.094670
1,135.0,Side,Right,Horizontal-Right,99.27%,98.96%,1,Straight,21:24:27.077606
1,135.0,Side,Right,Horizontal-Right,99.36%,98.52%,1,Straight,21:24:26.050630
1,135.0,Side,Right,Horizontal-Right,98.93%,98.85%,1,Straight,21:24:25.029417
1,135.0,Side,Right,Horizontal-Right,99.11%,99.01%,1,Straight,21:24:23.999755
1,135.0,Side,Right,Horizontal-Right,99.45%,98.39%,1,Straight,21:24:22.972056
1,136.0,Side,Left,Horizontal-Left,99.59%,99.23%,1,Straight,21:24:21.934435
1,135.0,Side,Left,Horizontal-Left,99.07%,98.92%,1,Straight,21:24:20.897847
1,135.0,Side,Left,Horizontal-Left,99.50%,98.31%,1,Straight,21:24:19.871638
1,136.0,Side,Left,Horizontal-Left,99.52%,98.92%,1,Straight,21:24:18.841221
1,135.0,Side,Left,Horizontal-Left,99.38%,98.99%,1,Straight,21:24:17.802687
1,136.0,Side,Right,Horizontal-Right,99.62%,99.04%,1,Straight,21:24:16.776781
1,136.0,Side,Right,Horizontal-Right,99.41%,99.07%,1,Straight,21:24:15.749195
1,135.0,Side,Right,Horizontal-Right,99.62%,98.45%,1,Straight,21:24:14.715817
1,136.0,Side,Right,Horizontal-Right,99.44%,98.50%,1,Straight,21:24:13.682673
1,136.0,Side,Right,Horizontal-Right,99.36%,98.12%,1,Straight,21:24:12.643899
1,136.0,Side,Left,Horizontal-Left,99.32%,98.40%,1,Straight,21:24:11.624741
1,135.0,Side,Left,Horizontal-Left,99.31%,98.96%,1,Straight,21:24:10.600647
1,135.0,Side,Right,Horizontal-Right,99.30%,98.44%,1,Straight,21:24:09.564779
1,136.0,Side,Left,Horizontal-Left,99.55%,98.65%,1,Straight,21:24:08.523905
1,136.0,Side,Right,Horizontal-Right,99.53%,98.09%,1,Straight,21:24:07.494743
1,135.0,Side,Left,Horizontal-Left,99.35%,99.04%,1,Straight,21:24:06.461898
1,136.0,Side,Right,Horizontal-Right,99.29%,98.36%,1,Straight,21:24:05.438660
1,135.0,Side,Right,Horizontal-Right,99.36%,98.46%,1,Straight,21:24:04.396449
1,135.0,Side,Right,Horizontal-Right,99.48%,99.14%,1,Straight,21:24:03.364735
1,135.0,Side,Left,Horizontal-Left,99.52%,98.98%,1,Straight,21:24:02.342145
1,135.0,Side,Right,Horizontal-Right,99.31%,98.74%,1,Straight,21:24:01.313858
1,136.0,Side,Left,Horizontal-Left,99.32%,99.17%,1,Straight,21:24:00.268253
1,136.0,Side,Right,Horizontal-Right,99.17%,98.51%,1,Straight,21:23:59.245620
1,135.0,Side,Left,Horizontal-Left,99.41%,97.81%,1,Straight,21:23:58.208205
1,136.0,Side,Right,Horizontal-Right,99.41%,98.83%,1,Straight,21:23:57.176609
1,135.0,Side,Left,Horizontal-Left,99.49%,97.90%,1,Straight,21:23:56.138345
1,135.0,Side,Right,Horizontal-Right,99.54%,98.77%,1,Straight,21:23:55.109164
1,135.0,Side,Right,Horizontal-Right,99.41%,98.73%,1,Straight,21:23:54.080329
1,136.0,Side,Left,Horizontal-Left,99.47%,98.60%,1,Straight,21:23:53.057496
1,135.0,Side,Right,Horizontal-Right,99.21%,98.65%,1,Straight,21:23:52.030579
1,136.0,Side,Right,Horizontal-Right,99.41%,99.05%,1,Straight,21:23:50.984542
1,135.0,Side,Left,Horizontal-Left,99.46%,99.09%,1,Straight,21:23:49.956120
1,135.0,Side,Right,Horizontal-Right,99.25%,98.29%,1,Straight,21:23:48.930684
1,134.0,Side,Right,Horizontal-Right,99.39%,98.89%,1,Straight,21:23:47.903162
1,135.0,Side,Right,Horizontal-Right,99.37%,98.25%,1,Straight,21:23:46.876062
1,136.0,Side,Left,Horizontal-Left,99.45%,98.22%,1,Straight,21:23:45.846104
1,135.0,Side,Right,Horizontal-Right,99.32%,98.87%,1,Straight,21:23:44.812587
1,135.0,Side,Right,Horizontal-Right,99.38%,98.75%,1,Straight,21:23:43.776916
1,136.0,Side,Left,Horizontal-Left,99.24%,98.44%,1,Straight,21:23:42.752630
1,136.0,Side,Right,Horizontal-Right,99.55%,98.97%,1,Straight,21:23:41.732647
1,136.0,Side,Left,Horizontal-Left,99.37%,99.09%,1,Straight,21:23:40.698631
1,136.0,Side,Right,Horizontal-Right,99.20%,99.08%,1,Straight,21:23:39.666672
1,135.0,Side,Left,Horizontal-Left,99.56%,98.93%,1,Straight,21:23:38.642285
1,135.0,Side,Left,Horizontal-Left,99.15%,98.64%,1,Straight,21:23:37.613546
1,134.0,Side,Left,Horizontal-Left,99.09%,98.58%,1,Straight,21:23:36.594015
1,136.0,Side,Left,Horizontal-Left,99.41%,98.97%,1,Straight,21:23:35.560877
1,134.0,Side,Right,Horizontal-Right,99.39%,98.52%,1,Straight,21:23:34.533929
1,135.0,Side,Left,Horizontal-Left,99.21%,98.42%,1,Straight,21:23:33.505120
1,134.0,Side,Right,Horizontal-Right,99.47%,99.05%,1,Straight,21:23:32.474479
1,136.0,Side,Left,Horizontal-Left,99.15%,98.97%,1,Straight,21:23:31.446687
1,135.0,Side,Left,Horizontal-Left,99.48%,98.64%,1,Straight,21:23:30.421371
1,134.0,Side,Left,Horizontal-Left,99.42%,99.04%,1,Straight,21:23:29.390685
1,136.0,Side,Right,Horizontal-Right,99.44%,98.73%,1,Straight,21:23:28.366255
1,135.0,Side,Left,Horizontal-Left,99.37%,98.49%,1,Straight,21:23:27.342542
1,136.0,Side,Right,Horizontal-Right,99.57%,99.18%,1,Straight,21:23:26.310686
1,136.0,Side,Left,Horizontal-Left,99.02%,99.12%,1,Straight,21:23:25.282076
1,132.0,Side,Right,Horizontal-Right,99.41%,99.11%,1,Straight,21:23:24.238085
1,135.0,Side,Left,Horizontal-Left,99.30%,98.97%,1,Straight,21:23:23.196044
1,135.0,Side,Right,Horizontal-Right,99.39%,98.48%,1,Straight,21:23:22.165521
1,135.0,Side,Left,Horizontal-Left,99.37%,98.63%,1,Straight,21:23:21.140441
1,136.0,Side,Left,Horizontal-Left,99.38%,97.94%,1,Straight,21:23:20.104610
1,136.0,Side,Left,Horizontal-Left,99.60%,98.75%,1,Straight,21:23:19.072215
1,135.0,Side,Right,Horizontal-Right,99.42%,99.15%,1,Straight,21:23:18.044408
1,136.0,Side,Right,Horizontal-Right,99.07%,98.55%,1,Straight,21:23:17.016394
1,136.0,Side,Left,Horizontal-Left,99.40%,98.44%,1,Straight,21:23:15.989018
1,135.0,Side,Right,Horizontal-Right,99.26%,98.79%,1,Straight,21:23:14.962835
1,135.0,Side,Right,Horizontal-Right,99.29%,98.39%,1,Straight,21:23:13.926082
1,136.0,Side,Left,Horizontal-Left,99.58%,98.75%,1,Straight,21:23:12.894361
1,136.0,Side,Right,Horizontal-Right,99.51%,98.56%,1,Straight,21:23:11.864726
1,135.0,Side,Right,Horizontal-Right,99.47%,98.68%,1,Straight,21:23:10.827899
1,134.0,Side,Right,Horizontal-Right,99.48%,98.91%,1,Straight,21:23:09.810589
1,135.0,Side,Right,Horizontal-Right,99.36%,98.77%,1,Straight,21:23:08.785429
1,136.0,Side,Left,Horizontal-Left,99.56%,98.65%,1,Straight,21:23:07.749632
1,135.0,Side,Left,Horizontal-Left,99.35%,98.84%,1,Straight,21:23:06.723765
1,135.0,Side,Left,Horizontal-Left,99.40%,99.05%,1,Straight,21:23:05.686714
1,135.0,Side,Right,Horizontal-Right,99.33%,98.50%,1,Straight,21:23:04.653647
1,136.0,Side,Left,Horizontal-Left,99.51%,98.93%,1,Straight,21:23:03.625356
1,134.0,Side,Right,Horizontal-Right,98.92%,98.87%,1,Straight,21:23:02.590663
1,134.0,Side,Right,Horizontal-Right,99.48%,98.93%,1,Straight,21:23:01.554639
1,135.0,Side,Left,Horizontal-Left,99.34%,98.86%,1,Straight,21:23:00.526675
1,135.0,Side,Left,Horizontal-Left,99.49%,99.02%,1,Straight,21:22:59.493970
1,134.0,Side,Left,Horizontal-Left,99.39%,99.25%,1,Straight,21:22:58.466691
1,136.0,Side,Left,Horizontal-Left,99.35%,97.56%,1,Straight,21:22:57.444580
1,136.0,Side,Left,Horizontal-Left,99.57%,99.27%,1,Straight,21:22:56.407821
1,136.0,Side,Left,Horizontal-Left,99.21%,98.56%,1,Straight,21:22:55.376607
1,135.0,Side,Left,Horizontal-Left,99.51%,98.14%,1,Straight,21:22:54.346200
1,135.0,Side,Left,Horizontal-Left,99.19%,99.00%,1,Straight,21:22:53.316504
1,135.0,Side,Right,Horizontal-Right,99.39%,99.03%,1,Straight,21:22:52.298625
1,135.0,Side,Right,Horizontal-Right,99.45%,98.10%,1,Straight,21:22:51.266690
1,135.0,Side,Left,Horizontal-Left,99.18%,98.81%,1,Straight,21:22:50.229398
1,135.0,Side,Right,Horizontal-Right,99.53%,97.43%,1,Straight,21:22:49.206614
1,135.0,Side,Right,Horizontal-Right,99.49%,98.51%,1,Straight,21:22:48.180645
1,136.0,Side,Right,Horizontal-Right,99.50%,99.04%,1,Straight,21:22:47.150716
1,135.0,Side,Right,Horizontal-Right,99.49%,98.08%,1,Straight,21:22:46.137711
1,134.0,Side,Right,Horizontal-Right,99.32%,98.63%,1,Straight,21:22:45.109157
1,135.0,Side,Left,Horizontal-Left,99.36%,97.91%,1,Straight,21:22:44.069209
1,135.0,Side,Left,Horizontal-Left,99.37%,98.46%,1,Straight,21:22:43.039872
1,135.0,Side,Left,Horizontal-Left,99.34%,99.34%,1,Straight,21:22:42.002706
1,135.0,Side,Right,Horizontal-Right,99.59%,98.63%,1,Straight,21:22:40.978589
1,136.0,Side,Right,Horizontal-Right,99.27%,98.74%,1,Straight,21:22:39.950667
1,135.0,Side,Left,Horizontal-Left,99.46%,98.80%,1,Straight,21:22:38.918038
1,135.0,Side,Left,Horizontal-Left,99.48%,98.73%,1,Straight,21:22:37.878656
1,135.0,Side,Left,Horizontal-Left,99.46%,98.05%,1,Straight,21:22:36.842676
1,136.0,Side,Left,Horizontal-Left,99.25%,99.23%,1,Straight,21:22:35.810662
1,135.0,Side,Left,Horizontal-Left,99.25%,99.04%,1,Straight,21:22:34.776700
1,136.0,Side,Right,Horizontal-Right,99.56%,98.52%,1,Straight,21:22:33.744803
1,135.0,Side,Left,Horizontal-Left,99.48%,99.05%,1,Straight,21:22:32.706017
1,134.0,Side,Left,Horizontal-Left,99.48%,99.07%,1,Straight,21:22:31.682374
1,135.0,Side,Right,Horizontal-Right,99.41%,98.71%,1,Straight,21:22:30.654017
1,136.0,Side,Left,Horizontal-Left,99.58%,98.62%,1,Straight,21:22:29.625393
1,134.0,Side,Left,Horizontal-Left,99.01%,97.67%,1,Straight,21:22:28.598634
1,136.0,Side,Left,Horizontal-Left,99.14%,98.98%,1,Straight,21:22:27.556566
1,134.0,Side,Right,Horizontal-Right,99.48%,98.81%,1,Straight,21:22:26.529711
1,135.0,Side,Left,Horizontal-Left,99.45%,98.75%,1,Straight,21:22:25.511972
1,135.0,Side,Left,Horizontal-Left,99.49%,98.53%,1,Straight,21:22:24.481941
