box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
1,106.0,Side,Left,Horizontal-Left,98.57%,94.16%,1,Obtuse,20:43:23.568067
1,106.0,Side,Right,Horizontal-Right,98.80%,94.31%,1,Obtuse,20:43:22.502377
1,106.0,Side,Left,Horizontal-Left,98.84%,96.05%,1,Obtuse,20:43:21.462657
1,106.0,Side,Right,Horizontal-Right,99.25%,94.45%,1,Obtuse,20:43:20.416597
1,106.0,Side,Left,Horizontal-Left,99.05%,94.91%,1,Obtuse,20:43:19.382670
1,106.0,,,,98.97%,94.37%,1,Obtuse,20:43:18.345237
1,104.0,Side,Right,Horizontal-Right,99.24%,94.80%,1,Obtuse,20:43:17.312401
1,106.0,Side,Right,Horizontal-Right,98.94%,94.11%,1,Obtuse,20:43:16.260933
1,106.0,Side,Left,Horizontal-Left,98.62%,93.66%,1,Obtuse,20:43:15.221383
1,106.0,,,,98.91%,94.01%,1,Obtuse,20:43:14.186082
1,106.0,,,,98.83%,94.76%,1,Obtuse,20:43:13.140489
1,106.0,,,,99.06%,96.29%,1,Obtuse,20:43:12.105287
1,106.0,,,,98.97%,93.68%,1,Obtuse,20:43:11.062426
1,106.0,Side,Right,Horizontal-Right,99.22%,94.29%,1,Obtuse,20:43:10.017989
1,106.0,,,,98.86%,95.81%,1,Obtuse,20:43:08.982686
1,104.0,Side,Right,Horizontal-Right,98.72%,94.35%,1,Obtuse,20:43:07.948087
1,106.0,Side,Left,Horizontal-Left,99.07%,94.51%,1,Obtuse,20:43:06.908274
1,105.0,Side,Right,Horizontal-Right,98.96%,95.35%,1,Obtuse,20:43:05.866693
1,106.0,Side,Right,Horizontal-Right,98.96%,94.99%,1,Obtuse,20:43:04.846589
1,106.0,Side,Left,Horizontal-Left,99.04%,94.06%,1,Obtuse,20:43:03.797322
1,104.0,Side,Right,Horizontal-Right,99.27%,94.41%,1,Obtuse,20:43:02.760857
1,106.0,Side,Left,Horizontal-Left,99.11%,96.19%,1,Obtuse,20:43:01.728865
1,105.0,Side,Right,Horizontal-Right,98.72%,94.66%,1,Obtuse,20:43:00.680751
1,106.0,Side,Right,Horizontal-Right,99.02%,94.27%,1,Obtuse,20:42:59.636321
1,106.0,Side,Left,Horizontal-Left,99.00%,94.41%,1,Obtuse,20:42:58.587729
1,106.0,,,,98.97%,93.42%,1,Obtuse,20:42:57.538084
1,106.0,Side,Right,Horizontal-Right,99.03%,95.01%,1,Obtuse,20:42:56.488742
1,106.0,Side,Right,Horizontal-Right,98.83%,95.03%,1,Obtuse,20:42:55.447809
1,106.0,Side,Right,Horizontal-Right,98.75%,95.93%,1,Obtuse,20:42:54.403796
1,106.0,,,,98.79%,95.23%,1,Obtuse,20:42:53.355742
1,106.0,,,,99.06%,94.97%,1,Obtuse,20:42:52.322664
1,105.0,Side,Left,Horizontal-Left,98.96%,94.25%,1,Obtuse,20:42:51.278395
1,102.0,Side,Right,Horizontal-Right,98.68%,94.32%,1,Obtuse,20:42:50.234698
1,104.0,,,,98.86%,94.59%,1,Obtuse,20:42:49.198630
1,106.0,,,,98.13%,94.41%,1,Obtuse,20:42:48.161868
1,106.0,Side,Right,Horizontal-Right,98.72%,95.17%,1,Obtuse,20:42:47.116478
1,106.0,,,,98.67%,94.60%,1,Obtuse,20:42:46.074448
1,106.0,Side,Left,Horizontal-Left,99.04%,96.48%,1,Obtuse,20:42:45.016320
1,106.0,,,,99.27%,96.18%,1,Obtuse,20:42:43.972917
1,106.0,Side,Right,Horizontal-Right,98.91%,94.69%,1,Obtuse,20:42:42.929865
1,105.0,,,,98.46%,95.07%,1,Obtuse,20:42:41.892182
1,106.0,,,,98.86%,95.22%,1,Obtuse,20:42:40.855713
1,105.0,,,,99.07%,95.12%,1,Obtuse,20:42:39.810682
1,106.0,Side,Right,Horizontal-Right,98.67%,95.91%,1,Obtuse,20:42:38.768423
1,103.0,Side,Left,Horizontal-Left,98.93%,94.74%,1,Obtuse,20:42:37.734216
1,107.0,,,,98.99%,94.96%,1,Obtuse,20:42:36.688438
1,106.0,Side,Left,Horizontal-Left,98.96%,93.58%,1,Obtuse,20:42:35.639627
